year,predicted_capacity
2010,33330.67032599449
2011,32393.021425962448
2012,32192.007140874863
2013,32727.627470970154
2014,33999.88241696358
2015,36008.77197766304
2016,38754.2961537838
2017,42236.45494580269
2018,46455.24835252762
2019,51410.67637467384
2020,57102.73901247978
2021,63531.43626523018
2022,70696.76813316345
2023,78598.73461699486
2024,87237.33571577072
2025,96612.57142972946
2026,106724.44175958633
2027,117572.94670414925
2028,129158.08626413345
2029,141479.86043977737
2030,154538.26923036575
2031,168333.31263637543
