year,predicted_capacity
2010,22544.934067606926
2011,26902.11428707838
2012,31018.184616446495
2013,34893.14505571127
2014,38526.99560493231
2015,41919.73626405001
2016,45071.367033064365
2017,47981.887911975384
2018,50651.29890078306
2019,53079.599999547005
2020,55266.79120820761
2021,57212.87252676487
2022,58917.843955397606
2023,60381.70549374819
2024,61604.457142055035
2025,62586.09890025854
2026,63326.63076835871
2027,63826.05274635553
2028,64084.364834308624
2029,64101.567032158375
2030,63877.659339904785
2031,63412.641757547855
