Tageszeit;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
00:00:00;1,5114;1,5115;1,5038;1,4935;1,4805;1,4648;1,4466;1,4259;1,4026;1,3768;1,3379;1,3179;1,2848;1,2492;1,2154;1,1787;1,1394;1,0995;1,0546;1,0072;0,9272;0,8500;0,7738;0,6994;0,6268;0,5561;0,4872;0,4202;0,3549;0,2914;0,2296;0,1708;0,1122;0,0547;0,0060
00:15:00;1,5238;1,5239;1,5162;1,5057;1,4926;1,4768;1,4585;1,4376;1,4141;1,3881;1,3488;1,3287;1,2953;1,2595;1,2253;1,1884;1,1487;1,1107;1,0654;1,0174;0,9367;0,8587;0,7816;0,7065;0,6332;0,5618;0,4922;0,4244;0,3585;0,2943;0,2320;0,1725;0,1133;0,0547;0,0066
00:30:00;1,5284;1,5285;1,5207;1,5102;1,4971;1,4813;1,4629;1,4419;1,4184;1,3923;1,3529;1,3327;1,2992;1,2633;1,2290;1,1920;1,1521;1,1140;1,0686;1,0205;0,9395;0,8613;0,7840;0,7086;0,6351;0,5635;0,4937;0,4257;0,3596;0,2952;0,2327;0,1731;0,1137;0,0549;0,0066
00:45:00;1,5271;1,5273;1,5195;1,5090;1,4958;1,4801;1,4617;1,4407;1,4172;1,3911;1,3518;1,3316;1,2981;1,2622;1,2280;1,1910;1,1512;1,1131;1,0677;1,0197;0,9387;0,8606;0,7833;0,7080;0,6346;0,5630;0,4933;0,4254;0,3593;0,2950;0,2325;0,1729;0,1136;0,0548;0,0066
01:00:00;1,5262;1,5263;1,5185;1,5080;1,4949;1,4791;1,4608;1,4398;1,4163;1,3903;1,3509;1,3307;1,2973;1,2614;1,2272;1,1902;1,1505;1,1124;1,0670;1,0190;0,9381;0,8600;0,7829;0,7076;0,6342;0,5627;0,4930;0,4251;0,3591;0,2948;0,2323;0,1728;0,1135;0,0548;0,0066
01:15:00;1,5210;1,5211;1,5133;1,5029;1,4898;1,4741;1,4558;1,4349;1,4115;1,3855;1,3463;1,3262;1,2929;1,2571;1,2230;1,1862;1,1466;1,1086;1,0634;1,0155;0,9349;0,8571;0,7802;0,7052;0,6320;0,5607;0,4913;0,4237;0,3578;0,2938;0,2315;0,1722;0,1131;0,0546;0,0066
01:30:00;1,5207;1,5208;1,5131;1,5027;1,4896;1,4739;1,4556;1,4347;1,4112;1,3853;1,3461;1,3260;1,2927;1,2569;1,2228;1,1860;1,1464;1,1084;1,0632;1,0154;0,9348;0,8569;0,7801;0,7051;0,6319;0,5607;0,4912;0,4236;0,3578;0,2937;0,2315;0,1722;0,1131;0,0546;0,0066
01:45:00;1,5253;1,5255;1,5177;1,5072;1,4941;1,4783;1,4600;1,4390;1,4155;1,3895;1,3502;1,3300;1,2966;1,2607;1,2266;1,1896;1,1498;1,1118;1,0665;1,0185;0,9376;0,8595;0,7824;0,7072;0,6339;0,5624;0,4927;0,4249;0,3589;0,2946;0,2322;0,1727;0,1134;0,0548;0,0066
02:00:00;1,5283;1,5284;1,5206;1,5101;1,4970;1,4812;1,4628;1,4418;1,4182;1,3922;1,3528;1,3326;1,2991;1,2632;1,2289;1,1919;1,1521;1,1139;1,0685;1,0204;0,9394;0,8612;0,7839;0,7086;0,6351;0,5634;0,4936;0,4257;0,3595;0,2952;0,2327;0,1730;0,1137;0,0549;0,0066
02:15:00;1,5278;1,5279;1,5201;1,5097;1,4965;1,4807;1,4623;1,4413;1,4178;1,3917;1,3524;1,3322;1,2987;1,2628;1,2285;1,1915;1,1517;1,1136;1,0682;1,0201;0,9391;0,8609;0,7837;0,7083;0,6349;0,5633;0,4935;0,4256;0,3594;0,2951;0,2326;0,1730;0,1136;0,0549;0,0066
