,Datum,Gesamtverbrauch,Year,Time,Month,Year Month,Year Month Day,Day,Weekday,Week
0,2030-01-01 00:00:00,2535.718912000001,2030,00:00:00,Jan,2030 01,2030 01 01,01,2,00
1,2030-01-01 00:15:00,2514.878464000001,2030,00:15:00,Jan,2030 01,2030 01 01,01,2,00
2,2030-01-01 00:30:00,2506.6209280000007,2030,00:30:00,Jan,2030 01,2030 01 01,01,2,00
3,2030-01-01 00:45:00,2494.955520000001,2030,00:45:00,Jan,2030 01,2030 01 01,01,2,00
4,2030-01-01 01:00:00,2472.869888000001,2030,01:00:00,Jan,2030 01,2030 01 01,01,2,00
5,2030-01-01 01:15:00,2466.381824000001,2030,01:15:00,Jan,2030 01,2030 01 01,01,2,00
6,2030-01-01 01:30:00,2493.251584000001,2030,01:30:00,Jan,2030 01,2030 01 01,01,2,00
7,2030-01-01 01:45:00,2470.5761280000006,2030,01:45:00,Jan,2030 01,2030 01 01,01,2,00
8,2030-01-01 02:00:00,2442.9854720000008,2030,02:00:00,Jan,2030 01,2030 01 01,01,2,00
9,2030-01-01 02:15:00,2429.2229120000006,2030,02:15:00,Jan,2030 01,2030 01 01,01,2,00
10,2030-01-01 02:30:00,2414.8049920000008,2030,02:30:00,Jan,2030 01,2030 01 01,01,2,00
11,2030-01-01 02:45:00,2396.5204480000007,2030,02:45:00,Jan,2030 01,2030 01 01,01,2,00
12,2030-01-01 03:00:00,2383.6098560000005,2030,03:00:00,Jan,2030 01,2030 01 01,01,2,00
13,2030-01-01 03:15:00,2349.989888000001,2030,03:15:00,Jan,2030 01,2030 01 01,01,2,00
14,2030-01-01 03:30:00,2341.9944960000007,2030,03:30:00,Jan,2030 01,2030 01 01,01,2,00
15,2030-01-01 03:45:00,2343.895040000001,2030,03:45:00,Jan,2030 01,2030 01 01,01,2,00
16,2030-01-01 04:00:00,2334.7200000000003,2030,04:00:00,Jan,2030 01,2030 01 01,01,2,00
17,2030-01-01 04:15:00,2321.285120000001,2030,04:15:00,Jan,2030 01,2030 01 01,01,2,00
18,2030-01-01 04:30:00,2319.9088640000004,2030,04:30:00,Jan,2030 01,2030 01 01,01,2,00
19,2030-01-01 04:45:00,2326.5935360000003,2030,04:45:00,Jan,2030 01,2030 01 01,01,2,00
20,2030-01-01 05:00:00,2336.6860800000004,2030,05:00:00,Jan,2030 01,2030 01 01,01,2,00
21,2030-01-01 05:15:00,2336.5550080000007,2030,05:15:00,Jan,2030 01,2030 01 01,01,2,00
22,2030-01-01 05:30:00,2341.339136000001,2030,05:30:00,Jan,2030 01,2030 01 01,01,2,00
23,2030-01-01 05:45:00,2330.13248,2030,05:45:00,Jan,2030 01,2030 01 01,01,2,00
24,2030-01-01 06:00:00,2306.6050560000003,2030,06:00:00,Jan,2030 01,2030 01 01,01,2,00
25,2030-01-01 06:15:00,2319.450112000001,2030,06:15:00,Jan,2030 01,2030 01 01,01,2,00
26,2030-01-01 06:30:00,2303.7214720000006,2030,06:30:00,Jan,2030 01,2030 01 01,01,2,00
27,2030-01-01 06:45:00,2306.015232000001,2030,06:45:00,Jan,2030 01,2030 01 01,01,2,00
28,2030-01-01 07:00:00,2348.4170240000008,2030,07:00:00,Jan,2030 01,2030 01 01,01,2,00
29,2030-01-01 07:15:00,2363.2936960000006,2030,07:15:00,Jan,2030 01,2030 01 01,01,2,00
30,2030-01-01 07:30:00,2377.5150080000008,2030,07:30:00,Jan,2030 01,2030 01 01,01,2,00
31,2030-01-01 07:45:00,2393.112576000001,2030,07:45:00,Jan,2030 01,2030 01 01,01,2,00
32,2030-01-01 08:00:00,2375.286784000001,2030,08:00:00,Jan,2030 01,2030 01 01,01,2,00
33,2030-01-01 08:15:00,2394.0300800000005,2030,08:15:00,Jan,2030 01,2030 01 01,01,2,00
34,2030-01-01 08:30:00,2428.567552000001,2030,08:30:00,Jan,2030 01,2030 01 01,01,2,00
