Datum,Restenergiebedarf in MWh
2030-01-01 00:00:00,0.0
2030-01-01 00:15:00,0.0
2030-01-01 00:30:00,0.0
2030-01-01 00:45:00,0.0
2030-01-01 01:00:00,0.0
2030-01-01 01:15:00,0.0
2030-01-01 01:30:00,0.0
2030-01-01 01:45:00,0.0
2030-01-01 02:00:00,0.0
2030-01-01 02:15:00,0.0
2030-01-01 02:30:00,0.0
2030-01-01 02:45:00,0.0
2030-01-01 03:00:00,0.0
2030-01-01 03:15:00,0.0
2030-01-01 03:30:00,0.0
2030-01-01 03:45:00,0.0
2030-01-01 04:00:00,0.0
2030-01-01 04:15:00,0.0
2030-01-01 04:30:00,0.0
2030-01-01 04:45:00,0.0
2030-01-01 05:00:00,0.0
2030-01-01 05:15:00,0.0
2030-01-01 05:30:00,0.0
2030-01-01 05:45:00,0.0
2030-01-01 06:00:00,0.0
2030-01-01 06:15:00,0.0
2030-01-01 06:30:00,0.0
2030-01-01 06:45:00,0.0
2030-01-01 07:00:00,0.0
2030-01-01 07:15:00,0.0
2030-01-01 07:30:00,0.0
2030-01-01 07:45:00,0.0
2030-01-01 08:00:00,0.0
2030-01-01 08:15:00,0.0
2030-01-01 08:30:00,0.0
2030-01-01 08:45:00,0.0
2030-01-01 09:00:00,0.0
2030-01-01 09:15:00,0.0
2030-01-01 09:30:00,0.0
2030-01-01 09:45:00,0.0
2030-01-01 10:00:00,0.0
2030-01-01 10:15:00,0.0
2030-01-01 10:30:00,0.0
2030-01-01 10:45:00,0.0
2030-01-01 11:00:00,0.0
2030-01-01 11:15:00,0.0
2030-01-01 11:30:00,0.0
2030-01-01 11:45:00,0.0
2030-01-01 12:00:00,0.0
2030-01-01 12:15:00,-290.72691113833207
2030-01-01 12:30:00,-9008.22550179395
2030-01-01 12:45:00,-9085.109723027912
2030-01-01 13:00:00,-8950.909539449607
2030-01-01 13:15:00,-8617.195934809337
2030-01-01 13:30:00,-7974.923542681872
2030-01-01 13:45:00,-7573.79998930771
2030-01-01 14:00:00,-7370.523947831214
2030-01-01 14:15:00,-6718.678724400223
2030-01-01 14:30:00,-5766.433455768023
2030-01-01 14:45:00,-5318.869950605274
2030-01-01 15:00:00,-4999.095779125335
2030-01-01 15:15:00,-4392.297298762824
2030-01-01 15:30:00,-3415.654686156362
2030-01-01 15:45:00,-2490.5122488047236
2030-01-01 16:00:00,-1570.6021260988546
2030-01-01 16:15:00,-1146.4532349684196
2030-01-01 16:30:00,-924.3599188365224
2030-01-01 16:45:00,-622.3238394420732
2030-01-01 17:00:00,-292.27296207388827
2030-01-01 17:15:00,-374.597508998555
2030-01-01 17:30:00,-580.2810396777932
2030-01-01 17:45:00,-660.8102658317839
2030-01-01 18:00:00,-665.8759085094716
2030-01-01 18:15:00,-829.2138913376166
2030-01-01 18:30:00,-1057.7446970668607
2030-01-01 18:45:00,-1193.7730417380808
2030-01-01 19:00:00,-1110.2451923634599
2030-01-01 19:15:00,-1275.977218848535
2030-01-01 19:30:00,-1368.3873697062481
2030-01-01 19:45:00,-1502.8462454574783
2030-01-01 20:00:00,-1692.0840465296296
2030-01-01 20:15:00,-1755.7347680288349
2030-01-01 20:30:00,-1859.2846927895207
2030-01-01 20:45:00,-2018.256731236701
2030-01-01 21:00:00,-1946.2534243619539
2030-01-01 21:15:00,-1892.7616630034718
2030-01-01 21:30:00,-1756.0444494102994
2030-01-01 21:45:00,-1820.0841101480855
2030-01-01 22:00:00,-1432.7982745147
2030-01-01 22:15:00,-1357.3845184590755
2030-01-01 22:30:00,-1519.9349110436324
2030-01-01 22:45:00,-1706.127757230468
2030-01-01 23:00:00,-1803.5576890290595
2030-01-01 23:15:00,-2088.640309024873
2030-01-01 23:30:00,-2392.5868871886923
2030-01-01 23:45:00,-2685.1420863979474
2030-01-02 00:00:00,-2958.983270593242
2030-01-02 00:15:00,-3304.038536490998
2030-01-02 00:30:00,-3577.2914688084766
2030-01-02 00:45:00,-3718.3647726898926
2030-01-02 01:00:00,-4068.573388957073
2030-01-02 01:15:00,-4413.179047534235
2030-01-02 01:30:00,-4472.110687143049
2030-01-02 01:45:00,-4429.692400459862
2030-01-02 02:00:00,-5059.904721402314
2030-01-02 02:15:00,-5668.19047608427
2030-01-02 02:30:00,-5850.1485930918025
2030-01-02 02:45:00,-5904.755712802555
2030-01-02 03:00:00,-6055.898838743937
2030-01-02 03:15:00,-6252.844742518926
2030-01-02 03:30:00,-6460.2693594501525
2030-01-02 03:45:00,-6596.2853398255975
2030-01-02 04:00:00,-6877.696876396005
2030-01-02 04:15:00,-6946.2918791536285
2030-01-02 04:30:00,-6881.388044308349
2030-01-02 04:45:00,-6943.613840438275
2030-01-02 05:00:00,-6682.857328909866
2030-01-02 05:15:00,-6501.9209535931295
2030-01-02 05:30:00,-6396.602159170641
2030-01-02 05:45:00,-6327.718690877868
2030-01-02 06:00:00,-6129.810424199977
2030-01-02 06:15:00,-6123.112986092263
2030-01-02 06:30:00,-5845.4705358052925
2030-01-02 06:45:00,-5721.79580077713
2030-01-02 07:00:00,-5543.418276105735
2030-01-02 07:15:00,-5355.182935791652
2030-01-02 07:30:00,-5169.280789507706
2030-01-02 07:45:00,-5250.362330201187
2030-01-02 08:00:00,-5029.039241180322
2030-01-02 08:15:00,-5018.975161655126
2030-01-02 08:30:00,-5082.775937011951
2030-01-02 08:45:00,-5286.668860652542
2030-01-02 09:00:00,-5726.073231773002
2030-01-02 09:15:00,-6065.542495957679
2030-01-02 09:30:00,-6217.045130333023
2030-01-02 09:45:00,-6021.912150381917
2030-01-02 10:00:00,-6054.352275372565
2030-01-02 10:15:00,-6387.68306272613
2030-01-02 10:30:00,-6300.468029221336
2030-01-02 10:45:00,-6357.637889893416
2030-01-02 11:00:00,-6734.777132336254
2030-01-02 11:15:00,-6803.13630958178
2030-01-02 11:30:00,-6783.468163988291
2030-01-02 11:45:00,-6752.884932194607
2030-01-02 12:00:00,-6610.199835062202
2030-01-02 12:15:00,-6651.130963965639
2030-01-02 12:30:00,-6671.746389934797
2030-01-02 12:45:00,-6643.120438255079
