,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
0,2030-01-01 00:00:00,10429.480784805417,0.0,-6706.828768194593,17136.30955300001
1,2030-01-01 00:15:00,10439.666614913687,0.0,-6555.803838586322,16995.47045350001
2,2030-01-01 00:30:00,10585.23148252686,0.0,-6354.434799473149,16939.66628200001
3,2030-01-01 00:45:00,10387.198948705864,0.0,-6473.632868794142,16860.831817500006
4,2030-01-01 01:00:00,10600.383004119893,0.0,-6111.194799130117,16711.57780325001
5,2030-01-01 01:15:00,10601.847429739231,0.0,-6065.8842387607765,16667.731668500008
6,2030-01-01 01:30:00,10524.919303460445,0.0,-6324.397367539563,16849.316671000008
7,2030-01-01 01:45:00,10655.833075120261,0.0,-6040.243569379747,16696.076644500008
8,2030-01-01 02:00:00,10490.491974803264,0.0,-6019.127874446744,16509.619849250008
9,2030-01-01 02:15:00,10687.983152448509,0.0,-5728.629744301499,16416.612896750008
10,2030-01-01 02:30:00,10526.585395421003,0.0,-5792.591646329005,16319.177041750008
11,2030-01-01 02:45:00,10614.040982439696,0.0,-5581.569679560311,16195.610662000006
12,2030-01-01 03:00:00,10183.293291101898,0.0,-5925.067991648111,16108.36128275001
13,2030-01-01 03:15:00,10018.152764228898,0.0,-5863.00582027111,15881.158584500008
14,2030-01-01 03:30:00,9907.108616465626,0.0,-5920.0173575343815,15827.125974000008
15,2030-01-01 03:45:00,9912.490338794149,0.0,-5927.4794524558565,15839.969791250005
16,2030-01-01 04:00:00,10005.19772578986,0.0,-5772.767430460146,15777.965156250006
17,2030-01-01 04:15:00,9870.988829126685,0.0,-5816.1838258733205,15687.172655000006
18,2030-01-01 04:30:00,9774.929381950136,0.0,-5902.9425777998695,15677.871959750006
19,2030-01-01 04:45:00,9818.321512518285,0.0,-5904.725252731723,15723.046765250008
20,2030-01-01 05:00:00,10087.416274288627,0.0,-5703.835589461378,15791.251863750005
21,2030-01-01 05:15:00,9987.019194892096,0.0,-5803.346888357912,15790.366083250008
22,2030-01-01 05:30:00,9872.224779044049,0.0,-5950.472292455959,15822.697071500008
23,2030-01-01 05:45:00,9867.886779328046,0.0,-5879.076059421961,15746.962838750007
24,2030-01-01 06:00:00,9941.385138733784,0.0,-5646.5801002662265,15587.96523900001
25,2030-01-01 06:15:00,9884.722065919424,0.0,-5790.049662080584,15674.771728000009
26,2030-01-01 06:30:00,9844.482515370384,0.0,-5723.9955526296235,15568.478068000008
27,2030-01-01 06:45:00,9782.805359675152,0.0,-5801.173867074856,15583.979226750009
