,Datum,Differenz in MWh,Kapazität in MWh,Laden/Einspeisen in MWh
0,2030-01-01 00:00:00,-2057.299983367804,2057.299983367804,-2057.299983367804
1,2030-01-01 00:15:00,-2191.3135977724523,4248.613581140256,-2191.3135977724523
2,2030-01-01 00:30:00,-2583.0961272179775,6831.709708358234,-2583.0961272179775
3,2030-01-01 00:45:00,-2425.524911825518,9257.234620183752,-2425.524911825518
4,2030-01-01 01:00:00,-3301.9107527740707,12559.145372957822,-3301.9107527740707
5,2030-01-01 01:15:00,-3725.0370715784193,16284.182444536242,-3725.0370715784193
6,2030-01-01 01:30:00,-3570.115740401605,19854.29818493785,-3570.115740401605
7,2030-01-01 01:45:00,-4134.930749612075,23989.228934549923,-4134.930749612075
8,2030-01-01 02:00:00,-4180.366341901352,28169.595276451277,-4180.366341901352
9,2030-01-01 02:15:00,-4812.335020020773,32981.93029647205,-4812.335020020773
10,2030-01-01 02:30:00,-4616.9198382587365,37598.85013473078,-4616.9198382587365
11,2030-01-01 02:45:00,-5022.174276250347,42621.02441098113,-5022.174276250347
12,2030-01-01 03:00:00,-4401.655807058945,47022.68021804008,-4401.655807058945
13,2030-01-01 03:15:00,-4486.587211744776,51509.26742978486,-4486.587211744776
14,2030-01-01 03:30:00,-4361.92546766391,55871.19289744877,-4361.92546766391
15,2030-01-01 03:45:00,-4400.952743653468,60272.14564110224,-4400.952743653468
16,2030-01-01 04:00:00,-4717.665140770961,64989.810781873195,-4717.665140770961
17,2030-01-01 04:15:00,-4607.416466930377,69597.22724880357,-4607.416466930377
18,2030-01-01 04:30:00,-4375.923324387033,73973.15057319059,-4375.923324387033
19,2030-01-01 04:45:00,-4330.581146993305,78303.7317201839,-4330.581146993305
20,2030-01-01 05:00:00,-4713.322679848143,83017.05440003205,-4713.322679848143
21,2030-01-01 05:15:00,-4383.953633199379,87401.00803323142,-4383.953633199379
22,2030-01-01 05:30:00,-3992.644246101583,91393.65227933301,-3992.644246101583
23,2030-01-01 05:45:00,-3872.9258946063455,95266.57817393936,-3872.9258946063455
24,2030-01-01 06:00:00,-3952.673514505348,99219.25168844471,-3952.673514505348
