,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
0,2030-01-01 00:00:00,4475.358705745834,0.0,-11380.146616921647,15855.505322667483
1,2030-01-01 00:15:00,4382.449229681795,0.0,-11347.32054231171,15729.769771993506
2,2030-01-01 00:30:00,4309.135018927803,0.0,-11364.780453941672,15673.915472869474
3,2030-01-01 00:45:00,4280.358067036249,0.0,-11315.945721044063,15596.303788080313
4,2030-01-01 01:00:00,4272.129746945464,0.0,-11180.241501933333,15452.371248878797
5,2030-01-01 01:15:00,4252.964233820142,0.0,-11152.507297275362,15405.471531095503
6,2030-01-01 01:30:00,4266.292803612031,0.0,-11291.644422579659,15557.93722619169
7,2030-01-01 01:45:00,4277.951038393264,0.0,-11142.63458721041,15420.585625603675
8,2030-01-01 02:00:00,4278.6095863206365,0.0,-10968.258224212033,15246.867810532669
9,2030-01-01 02:15:00,4266.507035919808,0.0,-10894.531015215758,15161.038051135565
10,2030-01-01 02:30:00,4258.105221315212,0.0,-10813.709576373392,15071.814797688603
11,2030-01-01 02:45:00,4259.612584285511,0.0,-10700.386170935766,14959.998755221277
12,2030-01-01 03:00:00,4283.56380343619,0.0,-10603.217064022956,14886.780867459147
13,2030-01-01 03:15:00,4328.412276091406,0.0,-10364.546320734215,14692.958596825621
14,2030-01-01 03:30:00,4340.973705546705,0.0,-10303.844246349976,14644.81795189668
15,2030-01-01 03:45:00,4346.158005974078,0.0,-10309.75987993769,14655.917885911767
16,2030-01-01 04:00:00,4364.2925511291005,0.0,-10248.392652042403,14612.685203171503
17,2030-01-01 04:15:00,4363.430837592788,0.0,-10180.25057071243,14543.681408305216
18,2030-01-01 04:30:00,4350.658128340368,0.0,-10195.391413637966,14546.049541978335
19,2030-01-01 04:45:00,4292.6785455993,0.0,-10314.43638371702,14607.114929316322
20,2030-01-01 05:00:00,4186.437547232716,0.0,-10501.520629840355,14687.958177073071
21,2030-01-01 05:15:00,4120.404938443883,0.0,-10583.891288971052,14704.296227414936
22,2030-01-01 05:30:00,4060.4911930584476,0.0,-10697.059402139039,14757.550595197486
23,2030-01-01 05:45:00,4040.170268549566,0.0,-10678.83177039143,14719.002038940996
24,2030-01-01 06:00:00,4002.2337634741766,0.0,-10585.53585349151,14587.769616965687
25,2030-01-01 06:15:00,3935.8781631152865,0.0,-10745.139942064017,14681.018105179304
26,2030-01-01 06:30:00,3855.672620090717,0.0,-10743.974527006267,14599.647147096985
27,2030-01-01 06:45:00,3796.165205923163,0.0,-10828.424657774103,14624.589863697267
