,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
0,2030-01-01 00:00:00,14689.052150796504,-1129.6447766124638,13559.40737418404,0.0
1,2030-01-01 00:15:00,14706.292309484168,-1253.0925234157276,13453.19978606844,0.0
2,2030-01-01 00:30:00,15000.113564946205,-1593.108437183093,13407.005127763112,0.0
3,2030-01-01 00:45:00,14752.67905512893,-1406.677186388104,13346.001868740826,0.0
4,2030-01-01 01:00:00,15349.75670867152,-2095.717053983759,13254.039654687762,0.0
5,2030-01-01 01:15:00,15606.78883666857,-2387.97319765017,13218.8156390184,0.0
6,2030-01-01 01:30:00,15556.650887086302,-2204.693933601862,13351.95695348444,0.0
7,2030-01-01 01:45:00,15914.32102628338,-2673.8767948402965,13240.444231443083,0.0
8,2030-01-01 02:00:00,15761.52513094653,-2680.046307080758,13081.478823865771,0.0
9,2030-01-01 02:15:00,16225.022639553874,-3206.6516228517994,13018.371016702074,0.0
10,2030-01-01 02:30:00,15965.936425052449,-3005.6150667670736,12960.321358285375,0.0
11,2030-01-01 02:45:00,16211.946785448896,-3330.080946713688,12881.865838735208,0.0
12,2030-01-01 03:00:00,15558.00848626389,-2706.7983963161696,12851.210089947721,0.0
13,2030-01-01 03:15:00,15429.054280829838,-2733.2440295089837,12695.810251320854,0.0
14,2030-01-01 03:30:00,15269.805018052499,-2596.951698269693,12672.853319782806,0.0
15,2030-01-01 03:45:00,15310.50675997885,-2604.26022982611,12706.24653015274,0.0
16,2030-01-01 04:00:00,15552.982410146427,-2874.3723631932535,12678.610046953174,0.0
17,2030-01-01 04:15:00,15393.198953468927,-2758.1640246824045,12635.034928786523,0.0
18,2030-01-01 04:30:00,15214.1529868278,-2562.5958311024024,12651.557155725397,0.0
19,2030-01-01 04:45:00,15258.8129864382,-1196.435580012192,14062.377406426009,-1348.5010942076387
20,2030-01-01 05:00:00,15711.929741481583,0.0,15711.929741481583,-2909.8595406150434
21,2030-01-01 05:15:00,15481.01993236421,0.0,15481.01993236421,-2651.3323120877158
22,2030-01-01 05:30:00,15228.25350340178,0.0,15228.25350340178,-2342.66757893439
23,2030-01-01 05:45:00,15152.620530771155,0.0,15152.620530771155,-2286.1904637954594
24,2030-01-01 06:00:00,15180.39416699421,0.0,15180.39416699421,-2440.299696616845
25,2030-01-01 06:15:00,15088.394821528012,0.0,15088.394821528012,-2263.395358475689
26,2030-01-01 06:30:00,15124.476181237193,0.0,15124.476181237193,-2361.68832477015
27,2030-01-01 06:45:00,15107.782205499416,0.0,15107.782205499416,-2323.8775442878577
28,2030-01-01 07:00:00,15557.58493909513,0.0,15557.58493909513,-2568.5817344255156
29,2030-01-01 07:15:00,15575.477685782624,0.0,15575.477685782624,-2516.226581360437
30,2030-01-01 07:30:00,15632.129550342837,0.0,15632.129550342837,-2505.9525782951223
31,2030-01-01 07:45:00,15527.183098463567,0.0,15527.183098463567,-2335.9966244714233
32,2030-01-01 08:00:00,15517.941047771354,0.0,15517.941047771354,-2417.184853179344
33,2030-01-01 08:15:00,15482.569301814556,0.0,15482.569301814556,-2301.6299934483905
