,Datum,Kapazität in MWh,Restkapazität in MWh,Einspeisung in MWh
0,2030-01-01 00:00:00,98076083.61576954,98073417.85673106,-2665.759038479666
1,2030-01-01 00:15:00,98076083.61576954,98073538.63892952,-2544.976840016774
2,2030-01-01 00:30:00,98076083.61576954,98073883.98348247,-2199.632287075252
3,2030-01-01 00:45:00,98076083.61576954,98073715.39724267,-2368.2185268721223
4,2030-01-01 01:00:00,98076083.61576954,98074336.43555073,-1747.1802188012443
5,2030-01-01 01:15:00,98076083.61576954,98074645.72506651,-1437.8907030158625
6,2030-01-01 01:30:00,98076083.61576954,98074443.40464501,-1640.211124528245
7,2030-01-01 01:45:00,98076083.61576954,98074933.66057976,-1149.955189782877
8,2030-01-01 02:00:00,98076083.61576954,98075060.0277821,-1023.5879874432376
9,2030-01-01 02:15:00,98076083.61576954,98075609.75288343,-473.8628860971876
10,2030-01-01 02:30:00,98076083.61576954,98075442.6414566,-640.9743129359886
11,2030-01-01 02:45:00,98076083.61576954,98075798.12552415,-285.4902453923223
12,2030-01-01 03:00:00,98076083.61576954,98075136.93478718,-946.680982350379
13,2030-01-01 03:15:00,98076083.61576954,98075190.35777587,-893.2579936697402
14,2030-01-01 03:30:00,98076083.61576954,98075079.86019702,-1003.7555725197781
15,2030-01-01 03:45:00,98076083.61576954,98075112.07187004,-971.5438994892465
16,2030-01-01 04:00:00,98076083.61576954,98075441.32922812,-642.2865414180305
17,2030-01-01 04:15:00,98076083.61576954,98075352.97336105,-730.6424084883802
18,2030-01-01 04:30:00,98076083.61576954,98075169.65727524,-913.9584942949859
19,2030-01-01 04:45:00,98076083.61576954,98075150.26952794,-933.3462415989397
20,2030-01-01 05:00:00,98076083.61576954,98075478.31402892,-605.301740617304
21,2030-01-01 05:15:00,98076083.61576954,98075233.90797278,-849.7077967583136
22,2030-01-01 05:30:00,98076083.61576954,98074923.20149969,-1160.4142698506712
23,2030-01-01 05:45:00,98076083.61576954,98074884.40679677,-1199.2089727733564
24,2030-01-01 06:00:00,98076083.61576954,98075691.49964362,-392.11612591875746
25,2030-01-01 06:15:00,98076083.61576954,98075501.73456147,-581.8812080681491
26,2030-01-01 06:30:00,98076083.61576954,98075619.73087576,-463.8848937766288
27,2030-01-01 06:45:00,98076083.61576954,98075577.34704518,-506.26872435461155
28,2030-01-01 07:00:00,98076083.61576954,98075799.00800803,-284.6077615053
29,2030-01-01 07:15:00,98076083.61576954,98075723.5396862,-360.07608333280405
30,2030-01-01 07:30:00,98076083.61576954,98075692.65423426,-390.96153527907154
31,2030-01-01 07:45:00,98076083.61576954,98075498.3261829,-585.2895866370363
32,2030-01-01 08:00:00,98076083.61576954,98075547.9410213,-535.6747482437659
33,2030-01-01 08:15:00,98076083.61576954,98075398.33923727,-685.2765322699488
34,2030-01-01 08:30:00,98076083.61576954,98075247.09981702,-836.5159525169311
35,2030-01-01 08:45:00,98076083.61576954,98075242.71993047,-840.8958390579082
36,2030-01-01 09:00:00,98076083.61576954,98075235.86936854,-847.7464009903761
37,2030-01-01 09:15:00,98076083.61576954,98075288.51207155,-795.1036979859855
38,2030-01-01 09:30:00,98076083.61576954,98075423.5166979,-660.0990716359047
39,2030-01-01 09:45:00,98076083.61576954,98075790.8579513,-292.75781824020305
40,2030-01-01 10:00:00,98076083.61576954,98076083.61576954,0.0
41,2030-01-01 10:15:00,98076083.61576954,98076083.61576954,0.0
42,2030-01-01 10:30:00,98076083.61576954,98076083.61576954,0.0
43,2030-01-01 10:45:00,98076083.61576954,98076083.61576954,0.0
44,2030-01-01 11:00:00,98076083.61576954,98076083.61576954,0.0
45,2030-01-01 11:15:00,98076083.61576954,98076083.61576954,0.0
46,2030-01-01 11:30:00,98076083.61576954,98076083.61576954,0.0
47,2030-01-01 11:45:00,98076083.61576954,98076083.61576954,0.0
48,2030-01-01 12:00:00,98076083.61576954,98076083.61576954,0.0
49,2030-01-01 12:15:00,98076083.61576954,98076083.61576954,0.0
50,2030-01-01 12:30:00,98076083.61576954,98076083.61576954,0.0
51,2030-01-01 12:45:00,98076083.61576954,98076083.61576954,0.0
52,2030-01-01 13:00:00,98076083.61576954,98076083.61576954,0.0
53,2030-01-01 13:15:00,98076083.61576954,98076083.61576954,0.0
54,2030-01-01 13:30:00,98076083.61576954,98076083.61576954,0.0
55,2030-01-01 13:45:00,98076083.61576954,98076083.61576954,0.0
