Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
2030-01-01 00:00:00,16205.239095552362,-2824.8396021067674,13380.399493445595,0.0
2030-01-01 00:15:00,16224.724756157832,-2954.2886122882737,13270.436143869558,0.0
2030-01-01 00:30:00,16562.489019266854,-3335.620382120109,13226.868637146745,0.0
2030-01-01 00:45:00,16332.741057809602,-3167.424798396931,13165.316259412672,0.0
2030-01-01 01:00:00,17077.802002709148,-4029.019824135059,13048.782178574089,0.0
2030-01-01 01:15:00,17460.440650168915,-4445.895149779202,13014.545500389713,0.0
2030-01-01 01:30:00,17439.33577749646,-4283.012780145691,13156.32299735077,0.0
2030-01-01 01:45:00,17882.57143863274,-4845.891812935648,13036.679625697094,0.0
2030-01-01 02:00:00,17770.69700798866,-4879.596477168623,12891.100530820037,0.0
2030-01-01 02:15:00,18327.196777052155,-5508.714033065957,12818.482743986198,0.0
2030-01-01 02:30:00,18052.551770253223,-5310.146182964463,12742.40558728876,0.0
2030-01-01 02:45:00,18359.06778264335,-5713.138314450225,12645.929468193124,0.0
2030-01-01 03:00:00,17683.516797253993,-5105.704574686426,12577.812222567567,0.0
2030-01-01 03:15:00,17606.347640928245,-5205.9235544438525,12400.424086484392,0.0
2030-01-01 03:30:00,17446.74179867859,-5088.505636438971,12358.23616223962,0.0
2030-01-01 03:45:00,17505.269318879822,-5137.006576950589,12368.262741929233,0.0
2030-01-01 04:00:00,17806.588746455498,-5486.739091987503,12319.849654467995,0.0
2030-01-01 04:15:00,17660.724699678074,-5411.765910541724,12248.95878913635,0.0
2030-01-01 04:30:00,17457.482488281858,-5215.785110005532,12241.697378276325,0.0
2030-01-01 04:45:00,17492.150014979416,-5215.180382576436,12276.96963240298,0.0
2030-01-01 05:00:00,17983.41313992078,-5653.191662335417,12330.221477585363,0.0
2030-01-01 05:15:00,17709.652190270677,-5380.125317930986,12329.526872339691,0.0
2030-01-01 05:30:00,17405.44331379798,-5050.672038443499,12354.77127535448,0.0
2030-01-01 05:45:00,17291.634389938754,-4995.995296641195,12295.63909329756,0.0
2030-01-01 06:00:00,17278.614938324645,-5107.117802300403,12171.497136024242,0.0
2030-01-01 06:15:00,17158.887495923693,-4919.610135781044,12239.277360142649,0.0
2030-01-01 06:30:00,17222.27748094403,-5065.9930453067755,12156.284435637255,0.0
2030-01-01 06:45:00,17225.499700254815,-5057.11233313941,12168.387367115405,0.0
2030-01-01 07:00:00,17749.49590811424,-5357.372190128084,12392.123717986156,0.0
2030-01-01 07:15:00,17782.33624972021,-5311.714528749362,12470.621720970848,0.0
2030-01-01 07:30:00,17858.821458737053,-5313.163288337102,12545.65817039995,0.0
2030-01-01 07:45:00,17767.630861804573,-5139.675167046689,12627.955694757884,0.0
2030-01-01 08:00:00,17761.372978075022,-5227.477988655894,12533.894989419128,0.0
2030-01-01 08:15:00,17728.643447190305,-5095.8516068466415,12632.791840343663,0.0
2030-01-01 08:30:00,17803.181254962245,-4988.152593821222,12815.028661141023,0.0
