Datum,Differenz in MWh,Year Month,Day,Sign,Group
2030-01-11 19:45:00,-361.61974563147305,2030 01,11,Negative,23
2030-01-11 20:00:00,-881.4458462249713,2030 01,11,Negative,23
2030-01-11 20:15:00,-1384.7594210770403,2030 01,11,Negative,23
2030-01-11 20:30:00,-1848.6670179812754,2030 01,11,Negative,23
2030-01-11 20:45:00,-2427.0310956342655,2030 01,11,Negative,23
2030-01-11 21:00:00,-2772.569350263868,2030 01,11,Negative,23
2030-01-11 21:15:00,-3272.736338390936,2030 01,11,Negative,23
2030-01-11 21:30:00,-3719.478312706233,2030 01,11,Negative,23
2030-01-11 21:45:00,-4622.904854549113,2030 01,11,Negative,23
2030-01-11 22:00:00,-4726.512884564101,2030 01,11,Negative,23
2030-01-11 22:15:00,-5362.1654891162,2030 01,11,Negative,23
2030-01-11 22:30:00,-5829.8530362110105,2030 01,11,Negative,23
2030-01-11 22:45:00,-6346.351194134575,2030 01,11,Negative,23
2030-01-11 23:00:00,-6746.179803503295,2030 01,11,Negative,23
2030-01-11 23:15:00,-7182.80146014423,2030 01,11,Negative,23
2030-01-11 23:30:00,-7647.840324197805,2030 01,11,Negative,23
2030-01-11 23:45:00,-7775.422172093091,2030 01,11,Negative,23
2030-01-12 00:00:00,-8565.278114427329,2030 01,12,Negative,23
2030-01-12 00:15:00,-8636.107818495759,2030 01,12,Negative,23
2030-01-12 00:30:00,-8656.746782702387,2030 01,12,Negative,23
2030-01-12 00:45:00,-8720.474151279082,2030 01,12,Negative,23
2030-01-12 01:00:00,-8640.81572404045,2030 01,12,Negative,23
2030-01-12 01:15:00,-8607.277466283671,2030 01,12,Negative,23
2030-01-12 01:30:00,-8677.710578120015,2030 01,12,Negative,23
2030-01-12 01:45:00,-8474.37441395786,2030 01,12,Negative,23
2030-01-12 02:00:00,-7903.971457635747,2030 01,12,Negative,23
2030-01-12 02:15:00,-7922.46038610259,2030 01,12,Negative,23
2030-01-12 02:30:00,-7783.772980716782,2030 01,12,Negative,23
2030-01-12 02:45:00,-7924.937192504065,2030 01,12,Negative,23
2030-01-12 03:00:00,-7556.63966224694,2030 01,12,Negative,23
2030-01-12 03:15:00,-7508.0594889358035,2030 01,12,Negative,23
2030-01-12 03:30:00,-7452.075490610379,2030 01,12,Negative,23
2030-01-12 03:45:00,-7575.316962572571,2030 01,12,Negative,23
2030-01-12 04:00:00,-7388.567142144933,2030 01,12,Negative,23
2030-01-12 04:15:00,-7270.598141047547,2030 01,12,Negative,23
2030-01-12 04:30:00,-7116.966230104124,2030 01,12,Negative,23
2030-01-12 04:45:00,-7308.183957905647,2030 01,12,Negative,23
2030-01-12 05:00:00,-7614.979983326008,2030 01,12,Negative,23
2030-01-12 05:15:00,-7845.079380144751,2030 01,12,Negative,23
2030-01-12 05:30:00,-7752.662665429765,2030 01,12,Negative,23
2030-01-12 05:45:00,-7467.251007985844,2030 01,12,Negative,23
2030-01-12 06:00:00,-6492.885112046435,2030 01,12,Negative,23
2030-01-12 06:15:00,-6107.1578893746555,2030 01,12,Negative,23
2030-01-12 06:30:00,-5589.29345103103,2030 01,12,Negative,23
2030-01-12 06:45:00,-5350.704781283137,2030 01,12,Negative,23
2030-01-12 07:00:00,-5291.93947441634,2030 01,12,Negative,23
2030-01-12 07:15:00,-5249.513451345356,2030 01,12,Negative,23
2030-01-12 07:30:00,-5464.788551770649,2030 01,12,Negative,23
2030-01-12 07:45:00,-5270.132604279232,2030 01,12,Negative,23
2030-01-12 08:00:00,-5139.297372969777,2030 01,12,Negative,23
2030-01-12 08:15:00,-5197.22131552306,2030 01,12,Negative,23
2030-01-12 08:30:00,-5142.1844904447535,2030 01,12,Negative,23
2030-01-12 08:45:00,-5285.001562704623,2030 01,12,Negative,23
2030-01-12 09:00:00,-5399.709627087668,2030 01,12,Negative,23
2030-01-12 09:15:00,-5942.875637264129,2030 01,12,Negative,23
2030-01-12 09:30:00,-6519.658985988059,2030 01,12,Negative,23
2030-01-12 09:45:00,-6889.929938562174,2030 01,12,Negative,23
2030-01-12 10:00:00,-7203.407211238537,2030 01,12,Negative,23
2030-01-12 10:15:00,-7511.798026500164,2030 01,12,Negative,23
2030-01-12 10:30:00,-7728.6462577852035,2030 01,12,Negative,23
2030-01-12 10:45:00,-7909.519435872735,2030 01,12,Negative,23
2030-01-12 11:00:00,-8060.029649005763,2030 01,12,Negative,23
2030-01-12 11:15:00,-8341.638047654113,2030 01,12,Negative,23
2030-01-12 11:30:00,-8453.659560923312,2030 01,12,Negative,23
2030-01-12 11:45:00,-8644.484689410616,2030 01,12,Negative,23
2030-01-12 12:00:00,-9095.682501525378,2030 01,12,Negative,23
2030-01-12 12:15:00,-9240.607801163966,2030 01,12,Negative,23
2030-01-12 12:30:00,-9202.679445781749,2030 01,12,Negative,23
2030-01-12 12:45:00,-9136.866902632384,2030 01,12,Negative,23
2030-01-12 13:00:00,-8726.162254538103,2030 01,12,Negative,23
2030-01-12 13:15:00,-8921.505979599493,2030 01,12,Negative,23
2030-01-12 13:30:00,-8475.010640831642,2030 01,12,Negative,23
2030-01-12 13:45:00,-8018.040380856204,2030 01,12,Negative,23
2030-01-12 14:00:00,-7713.416864413226,2030 01,12,Negative,23
2030-01-12 14:15:00,-7267.214258272201,2030 01,12,Negative,23
2030-01-12 14:30:00,-6890.993470297213,2030 01,12,Negative,23
2030-01-12 14:45:00,-6780.391485956243,2030 01,12,Negative,23
2030-01-12 15:00:00,-5831.401501615343,2030 01,12,Negative,23
2030-01-12 15:15:00,-5484.756816854431,2030 01,12,Negative,23
2030-01-12 15:30:00,-4638.937622173882,2030 01,12,Negative,23
2030-01-12 15:45:00,-3825.990033086993,2030 01,12,Negative,23
2030-01-12 16:00:00,-2968.0081524479574,2030 01,12,Negative,23
2030-01-12 16:15:00,-2101.2903184854804,2030 01,12,Negative,23
2030-01-12 16:30:00,-1681.3332686242502,2030 01,12,Negative,23
2030-01-12 16:45:00,-1653.0531511312583,2030 01,12,Negative,23
2030-01-12 17:00:00,-1103.8858438428942,2030 01,12,Negative,23
2030-01-12 17:15:00,-902.440951427845,2030 01,12,Negative,23
2030-01-12 17:30:00,-527.1711092221194,2030 01,12,Negative,23
2030-01-12 17:45:00,-398.7908540172102,2030 01,12,Negative,23
2030-01-12 18:00:00,-501.63978520832825,2030 01,12,Negative,23
2030-01-12 18:15:00,-642.0089734680114,2030 01,12,Negative,23
2030-01-12 18:30:00,-649.0035488395952,2030 01,12,Negative,23
2030-01-12 18:45:00,-696.2202779407307,2030 01,12,Negative,23
2030-01-12 19:00:00,-646.1558954991488,2030 01,12,Negative,23
2030-01-12 19:15:00,-1267.1652091531287,2030 01,12,Negative,23
2030-01-12 19:30:00,-1812.0834262043027,2030 01,12,Negative,23
2030-01-12 19:45:00,-2781.26423574422,2030 01,12,Negative,23
2030-01-12 20:00:00,-3731.371488591849,2030 01,12,Negative,23
2030-01-12 20:15:00,-4914.369897059936,2030 01,12,Negative,23
2030-01-12 20:30:00,-5992.8294733324,2030 01,12,Negative,23
2030-01-12 20:45:00,-7245.752215725544,2030 01,12,Negative,23
2030-01-12 21:00:00,-8178.697916932146,2030 01,12,Negative,23
2030-01-12 21:15:00,-8869.046341699963,2030 01,12,Negative,23
2030-01-12 21:30:00,-9244.007371343228,2030 01,12,Negative,23
2030-01-12 21:45:00,-9529.000814170307,2030 01,12,Negative,23
2030-01-12 22:00:00,-9292.733174380814,2030 01,12,Negative,23
2030-01-12 22:15:00,-9425.592363925502,2030 01,12,Negative,23
2030-01-12 22:30:00,-9449.08248263465,2030 01,12,Negative,23
2030-01-12 22:45:00,-9867.707843834945,2030 01,12,Negative,23
2030-01-12 23:00:00,-9730.690710715699,2030 01,12,Negative,23
2030-01-12 23:15:00,-9397.510621021236,2030 01,12,Negative,23
2030-01-12 23:30:00,-9649.855884705856,2030 01,12,Negative,23
2030-01-12 23:45:00,-9623.113899499236,2030 01,12,Negative,23
2030-01-13 00:00:00,-9414.220587556025,2030 01,13,Negative,23
2030-01-13 00:15:00,-9124.175670860746,2030 01,13,Negative,23
2030-01-13 00:30:00,-8993.887444921478,2030 01,13,Negative,23
2030-01-13 00:45:00,-8848.665917010694,2030 01,13,Negative,23
2030-01-13 01:00:00,-8714.111418471872,2030 01,13,Negative,23
2030-01-13 01:15:00,-8749.776372341043,2030 01,13,Negative,23
2030-01-13 01:30:00,-8471.797748636152,2030 01,13,Negative,23
2030-01-13 01:45:00,-8257.541550486341,2030 01,13,Negative,23
2030-01-13 02:00:00,-7712.848874628042,2030 01,13,Negative,23
2030-01-13 02:15:00,-7393.06103063835,2030 01,13,Negative,23
2030-01-13 02:30:00,-6532.779798881675,2030 01,13,Negative,23
2030-01-13 02:45:00,-6165.944082226539,2030 01,13,Negative,23
2030-01-13 03:00:00,-5805.32234695413,2030 01,13,Negative,23
2030-01-13 03:15:00,-6031.482697047912,2030 01,13,Negative,23
2030-01-13 03:30:00,-6096.730769890131,2030 01,13,Negative,23
2030-01-13 03:45:00,-5896.1809821718125,2030 01,13,Negative,23
2030-01-13 04:00:00,-4886.782254066482,2030 01,13,Negative,23
2030-01-13 04:15:00,-4769.388035296914,2030 01,13,Negative,23
2030-01-13 04:30:00,-4756.518849699696,2030 01,13,Negative,23
2030-01-13 04:45:00,-4953.767921097129,2030 01,13,Negative,23
