Datum,Differenz in MWh,Year Month,Day,Sign,Group
2030-08-13 13:30:00,41.214484477675796,2030 08,13,Positive,45
2030-08-13 13:45:00,337.0365643849964,2030 08,13,Positive,45
2030-08-13 14:00:00,523.5836154507779,2030 08,13,Positive,45
2030-08-13 14:15:00,769.1132278914883,2030 08,13,Positive,45
2030-08-13 14:30:00,999.4334080901299,2030 08,13,Positive,45
2030-08-13 14:45:00,1486.294713076566,2030 08,13,Positive,45
2030-08-13 15:00:00,2091.661237206061,2030 08,13,Positive,45
2030-08-13 15:15:00,2728.0328899405267,2030 08,13,Positive,45
2030-08-13 15:30:00,3322.2328792928565,2030 08,13,Positive,45
2030-08-13 15:45:00,3843.577203555433,2030 08,13,Positive,45
2030-08-13 16:00:00,4515.429648320607,2030 08,13,Positive,45
2030-08-13 16:15:00,5107.800749114402,2030 08,13,Positive,45
2030-08-13 16:30:00,5717.5522902808425,2030 08,13,Positive,45
2030-08-13 16:45:00,6257.238207903432,2030 08,13,Positive,45
2030-08-13 17:00:00,7310.341065645962,2030 08,13,Positive,45
2030-08-13 17:15:00,7962.185758023501,2030 08,13,Positive,45
2030-08-13 17:30:00,8788.541089815582,2030 08,13,Positive,45
2030-08-13 17:45:00,9542.914210793151,2030 08,13,Positive,45
2030-08-13 18:00:00,10511.770579839169,2030 08,13,Positive,45
2030-08-13 18:15:00,11027.190983947537,2030 08,13,Positive,45
2030-08-13 18:30:00,11572.687889702323,2030 08,13,Positive,45
2030-08-13 18:45:00,12053.080821230837,2030 08,13,Positive,45
2030-08-13 19:00:00,12561.23373137302,2030 08,13,Positive,45
2030-08-13 19:15:00,12649.472276993181,2030 08,13,Positive,45
2030-08-13 19:30:00,12669.385835772078,2030 08,13,Positive,45
2030-08-13 19:45:00,12741.858213817024,2030 08,13,Positive,45
2030-08-13 20:00:00,12830.039908549115,2030 08,13,Positive,45
2030-08-13 20:15:00,12698.615258478232,2030 08,13,Positive,45
2030-08-13 20:30:00,12556.791438502569,2030 08,13,Positive,45
2030-08-13 20:45:00,12515.89445801861,2030 08,13,Positive,45
2030-08-13 21:00:00,12690.382206886592,2030 08,13,Positive,45
2030-08-13 21:15:00,12680.85687379199,2030 08,13,Positive,45
2030-08-13 21:30:00,12552.524768840653,2030 08,13,Positive,45
2030-08-13 21:45:00,12433.266188701315,2030 08,13,Positive,45
2030-08-13 22:00:00,12296.43251212097,2030 08,13,Positive,45
2030-08-13 22:15:00,12169.03929508778,2030 08,13,Positive,45
2030-08-13 22:30:00,11950.717723591202,2030 08,13,Positive,45
2030-08-13 22:45:00,11703.152472116662,2030 08,13,Positive,45
2030-08-13 23:00:00,11443.685321561137,2030 08,13,Positive,45
2030-08-13 23:15:00,11253.326849560191,2030 08,13,Positive,45
2030-08-13 23:30:00,11101.312348646195,2030 08,13,Positive,45
2030-08-13 23:45:00,10995.939518535477,2030 08,13,Positive,45
2030-08-14 00:00:00,10828.940799687298,2030 08,14,Positive,45
2030-08-14 00:15:00,10784.135414583212,2030 08,14,Positive,45
2030-08-14 00:30:00,10695.808228818514,2030 08,14,Positive,45
2030-08-14 00:45:00,10668.333127121852,2030 08,14,Positive,45
2030-08-14 01:00:00,10439.580075181198,2030 08,14,Positive,45
2030-08-14 01:15:00,10425.112965849608,2030 08,14,Positive,45
2030-08-14 01:30:00,10350.405257967801,2030 08,14,Positive,45
2030-08-14 01:45:00,10328.404444322814,2030 08,14,Positive,45
2030-08-14 02:00:00,10239.246084727838,2030 08,14,Positive,45
2030-08-14 02:15:00,10203.01564709513,2030 08,14,Positive,45
2030-08-14 02:30:00,10149.819374758543,2030 08,14,Positive,45
2030-08-14 02:45:00,10197.901957363985,2030 08,14,Positive,45
2030-08-14 03:00:00,10269.312635448061,2030 08,14,Positive,45
2030-08-14 03:15:00,10301.413045117526,2030 08,14,Positive,45
2030-08-14 03:30:00,10387.714676571017,2030 08,14,Positive,45
2030-08-14 03:45:00,10402.498570140535,2030 08,14,Positive,45
2030-08-14 04:00:00,10563.816794394392,2030 08,14,Positive,45
2030-08-14 04:15:00,10697.792255325836,2030 08,14,Positive,45
