Datum,Restenergiebedarf in MWh
2030-01-01 00:00:00,-10425.36025889807
2030-01-01 00:15:00,-10435.539838208675
2030-01-01 00:30:00,-10581.10595599294
2030-01-01 00:45:00,-10383.070921836861
2030-01-01 01:00:00,-10596.252476948608
2030-01-01 01:15:00,-10597.72190320772
2030-01-01 01:30:00,-10520.79377692317
2030-01-01 01:45:00,-10651.712549232223
2030-01-01 02:00:00,-10486.370198742756
2030-01-01 02:15:00,-10683.862626562935
2030-01-01 02:30:00,-10522.464869522908
2030-01-01 02:45:00,-10609.922956868098
2030-01-01 03:00:00,-10179.174015336885
2030-01-01 03:15:00,-10014.033488451443
2030-01-01 03:30:00,-9902.986840360012
2030-01-01 03:45:00,-9908.367312528904
2030-01-01 04:00:00,-10001.073449371195
2030-01-01 04:15:00,-9866.867053017324
2030-01-01 04:30:00,-9770.812606472733
2030-01-01 04:45:00,-9814.207237364091
2030-01-01 05:00:00,-10083.298248675854
2030-01-01 05:15:00,-9982.899919111149
2030-01-01 05:30:00,-9868.12300549118
2030-01-01 05:45:00,-9863.793756893408
2030-01-01 06:00:00,-9937.303367742401
2030-01-01 06:15:00,-9880.714054349919
2030-01-01 06:30:00,-9840.539512105828
2030-01-01 06:45:00,-9778.916113275747
2030-01-01 07:00:00,-9945.85267726047
2030-01-01 07:15:00,-9878.81310025138
2030-01-01 07:30:00,-9863.291523786938
2030-01-01 07:45:00,-9740.735478034057
2030-01-01 08:00:00,-9724.917862390637
2030-01-01 08:15:00,-9647.636002794468
2030-01-01 08:30:00,-9675.721756643048
2030-01-01 08:45:00,-9876.147133618462
2030-01-01 09:00:00,-10140.889165324274
2030-01-01 09:15:00,-10530.990102792253
2030-01-01 09:30:00,-10903.458109556217
2030-01-01 09:45:00,-11392.13777162392
2030-01-01 10:00:00,-12001.249089275329
2030-01-01 10:15:00,-12589.113135784122
2030-01-01 10:30:00,-13102.757072891785
2030-01-01 10:45:00,-13529.594770273783
2030-01-01 11:00:00,-13800.603807355797
2030-01-01 11:15:00,-14296.338468983284
2030-01-01 11:30:00,-14688.905296168441
2030-01-01 11:45:00,-14735.525989672631
2030-01-01 12:00:00,-14746.415230092809
2030-01-01 12:15:00,-14439.840195287366
2030-01-01 12:30:00,-14014.756096773968
2030-01-01 12:45:00,-13811.361414041796
2030-01-01 13:00:00,-13565.005556637121
2030-01-01 13:15:00,-13225.117168973484
2030-01-01 13:30:00,-12670.866380474608
2030-01-01 13:45:00,-12314.25416354948
2030-01-01 14:00:00,-11947.980408679996
2030-01-01 14:15:00,-11360.957803250942
2030-01-01 14:30:00,-10601.562116138846
2030-01-01 14:45:00,-10071.429445085343
2030-01-01 15:00:00,-9732.792700370042
2030-01-01 15:15:00,-9205.363923212233
2030-01-01 15:30:00,-8546.698047983133
2030-01-01 15:45:00,-7870.2337199656085
2030-01-01 16:00:00,-7369.119015495096
2030-01-01 16:15:00,-7108.211322707837
2030-01-01 16:30:00,-6873.487176262672
2030-01-01 16:45:00,-6446.123491831624
2030-01-01 17:00:00,-5729.921133409822
2030-01-01 17:15:00,-5520.900194462956
2030-01-01 17:30:00,-5344.1411689626675
2030-01-01 17:45:00,-5334.992573506179
2030-01-01 18:00:00,-5350.039737343483
2030-01-01 18:15:00,-5287.666399046921
2030-01-01 18:30:00,-5341.288278274886
2030-01-01 18:45:00,-5346.400582977902
2030-01-01 19:00:00,-5212.9072662541785
2030-01-01 19:15:00,-5548.408956542669
2030-01-01 19:30:00,-5874.7129148479635
2030-01-01 19:45:00,-6332.99921278912
2030-01-01 20:00:00,-6945.325494895558
2030-01-01 20:15:00,-7062.124282483786
2030-01-01 20:30:00,-7262.596141259255
2030-01-01 20:45:00,-7429.652011821636
2030-01-01 21:00:00,-7517.1763678541065
2030-01-01 21:15:00,-7436.160693973516
2030-01-01 21:30:00,-7356.989786779826
2030-01-01 21:45:00,-7338.047701068139
2030-01-01 22:00:00,-7373.789818674943
2030-01-01 22:15:00,-7389.222176998188
2030-01-01 22:30:00,-7416.509250963754
2030-01-01 22:45:00,-7460.521059578405
2030-01-01 23:00:00,-7397.3105541685345
2030-01-01 23:15:00,-7414.150349379985
2030-01-01 23:30:00,-7505.504621887771
2030-01-01 23:45:00,-7543.815797611651
2030-01-02 00:00:00,-7576.397318548767
2030-01-02 00:15:00,-7645.641559255919
2030-01-02 00:30:00,-7743.202685352676
2030-01-02 00:45:00,-7770.685422785846
2030-01-02 01:00:00,-7806.514806599724
2030-01-02 01:15:00,-7878.461613496721
2030-01-02 01:30:00,-7846.244448976682
2030-01-02 01:45:00,-7737.744490502394
2030-01-02 02:00:00,-7999.459853595748
2030-01-02 02:15:00,-8159.581425858334
2030-01-02 02:30:00,-8151.146297533737
2030-01-02 02:45:00,-8154.859821924595
2030-01-02 03:00:00,-8271.173855769077
2030-01-02 03:15:00,-8386.016056406537
2030-01-02 03:30:00,-8431.195229889756
2030-01-02 03:45:00,-8522.206580332271
2030-01-02 04:00:00,-8700.637834297064
2030-01-02 04:15:00,-8688.847637336623
2030-01-02 04:30:00,-8783.622903714155
2030-01-02 04:45:00,-8960.75169125707
2030-01-02 05:00:00,-8943.318701234637
2030-01-02 05:15:00,-8925.140718173821
2030-01-02 05:30:00,-9056.938523498524
2030-01-02 05:45:00,-9263.397022592499
2030-01-02 06:00:00,-9434.047971540505
2030-01-02 06:15:00,-9573.160723111838
2030-01-02 06:30:00,-9594.964781120323
2030-01-02 06:45:00,-9536.178810151918
2030-01-02 07:00:00,-9478.699736110411
2030-01-02 07:15:00,-9256.12373317476
2030-01-02 07:30:00,-9137.359444400732
2030-01-02 07:45:00,-9240.700799423897
2030-01-02 08:00:00,-8967.717677404857
2030-01-02 08:15:00,-8806.641956620571
2030-01-02 08:30:00,-8886.980562075529
2030-01-02 08:45:00,-9065.065388965042
2030-01-02 09:00:00,-9617.688478241367
2030-01-02 09:15:00,-10304.254631986258
