Datum,Restenergiebedarf in MWh
2030-01-01 00:00:00,15865.055595244537
2030-01-01 00:15:00,15616.649042088471
2030-01-01 00:30:00,15277.485038134582
2030-01-01 00:45:00,15643.96523160817
2030-01-01 01:00:00,15119.546912927703
2030-01-01 01:15:00,15026.076084464803
2030-01-01 01:30:00,15355.599190638497
2030-01-01 01:45:00,15115.352575624422
2030-01-01 02:00:00,15576.424843672685
2030-01-01 02:15:00,15448.4040464243
2030-01-01 02:30:00,16053.661086610628
2030-01-01 02:45:00,16139.234683331719
2030-01-01 03:00:00,17304.604749459388
2030-01-01 03:15:00,17687.314828746436
2030-01-01 03:30:00,18152.933319182586
2030-01-01 03:45:00,18639.74200936222
2030-01-01 04:00:00,18855.697524201365
2030-01-01 04:15:00,19388.822544397284
2030-01-01 04:30:00,19942.9619001994
2030-01-01 04:45:00,20290.37730453284
2030-01-01 05:00:00,20135.87016348703
2030-01-01 05:15:00,20672.206140597038
2030-01-01 05:30:00,21259.767462194577
2030-01-01 05:45:00,21601.808016257753
2030-01-01 06:00:00,21629.922238955078
2030-01-01 06:15:00,22072.460084526676
2030-01-01 06:30:00,22268.9464415647
2030-01-01 06:45:00,22473.319835656614
2030-01-01 07:00:00,22364.373743323507
2030-01-01 07:15:00,22479.855135709142
2030-01-01 07:30:00,22357.06600761882
2030-01-01 07:45:00,22394.862575518906
2030-01-01 08:00:00,21916.231268741984
2030-01-01 08:15:00,21779.84291955336
2030-01-01 08:30:00,21437.747778160934
2030-01-01 08:45:00,20841.950207773487
2030-01-01 09:00:00,20225.677571617918
2030-01-01 09:15:00,19568.797112209664
2030-01-01 09:30:00,18697.88697664495
2030-01-01 09:45:00,17504.046304951742
2030-01-01 10:00:00,14760.927869413217
2030-01-01 10:15:00,13370.711982144232
2030-01-01 10:30:00,11751.605331519146
2030-01-01 10:45:00,10272.881345838185
2030-01-01 11:00:00,-7980.0899637287075
2030-01-01 11:15:00,-8505.682733853184
2030-01-01 11:30:00,-8985.818497688404
2030-01-01 11:45:00,-9015.652552049243
2030-01-01 12:00:00,-9011.737732472899
2030-01-01 12:15:00,-8327.380798019218
2030-01-01 12:30:00,-7566.974066903633
2030-01-01 12:45:00,-2522.8914161097528
2030-01-01 13:00:00,18916.061410194656
2030-01-01 13:15:00,20739.28944045017
2030-01-01 13:30:00,21807.114895539627
2030-01-01 13:45:00,20707.741996483375
2030-01-01 14:00:00,19776.951503489458
2030-01-01 14:15:00,19810.9821575718
2030-01-01 14:30:00,20328.20910677415
2030-01-01 14:45:00,20712.672959858624
2030-01-01 15:00:00,21178.773038131098
2030-01-01 15:15:00,22119.292226561054
2030-01-01 15:30:00,23469.48942282248
2030-01-01 15:45:00,24643.74528051872
2030-01-01 16:00:00,25723.5655417241
2030-01-01 16:15:00,26272.72808198989
2030-01-01 16:30:00,26611.550719388917
2030-01-01 16:45:00,27211.056827199478
2030-01-01 17:00:00,27944.536959035817
2030-01-01 17:15:00,28176.064410814808
2030-01-01 17:30:00,28449.52607702604
2030-01-01 17:45:00,28455.225031867463
2030-01-01 18:00:00,28592.16347616788
2030-01-01 18:15:00,28854.87676646162
2030-01-01 18:30:00,28897.775776934137
2030-01-01 18:45:00,28987.994827168248
2030-01-01 19:00:00,29093.90034064274
2030-01-01 19:15:00,28839.624691926365
2030-01-01 19:30:00,28503.382545578883
2030-01-01 19:45:00,27894.077157363085
2030-01-01 20:00:00,27105.890802927
2030-01-01 20:15:00,26324.198095917767
2030-01-01 20:30:00,25604.88073224452
2030-01-01 20:45:00,24797.538994752715
2030-01-01 21:00:00,24391.756659669845
2030-01-01 21:15:00,24114.00946245347
2030-01-01 21:30:00,23838.77096507136
2030-01-01 21:45:00,23687.914767742295
2030-01-01 22:00:00,23842.261710175888
2030-01-01 22:15:00,23576.778403720404
2030-01-01 22:30:00,23356.998507543445
2030-01-01 22:45:00,22947.69706031712
2030-01-01 23:00:00,22685.825278694858
2030-01-01 23:15:00,22353.53394455232
2030-01-01 23:30:00,21807.09584284114
2030-01-01 23:45:00,21390.09077416338
2030-01-02 00:00:00,20911.19939268651
2030-01-02 00:15:00,20552.329689639366
2030-01-02 00:30:00,20057.841225829936
2030-01-02 00:45:00,19837.323680716545
2030-01-02 01:00:00,21036.96277913163
2030-01-02 01:15:00,20677.65046769753
2030-01-02 01:30:00,20729.514209465808
2030-01-02 01:45:00,21186.865489002004
2030-01-02 02:00:00,19595.16177808233
2030-01-02 02:15:00,19490.664881053606
2030-01-02 02:30:00,19950.19397884769
2030-01-02 02:45:00,20452.09755340209
2030-01-02 03:00:00,20740.848926770574
2030-01-02 03:15:00,20818.076978807352
2030-01-02 03:30:00,21125.684087792943
2030-01-02 03:45:00,21603.971225278983
2030-01-02 04:00:00,21914.084945656134
2030-01-02 04:15:00,22521.78630874303
2030-01-02 04:30:00,22964.755537233097
2030-01-02 04:45:00,23278.499172422453
2030-01-02 05:00:00,25080.104784374267
2030-01-02 05:15:00,25745.69992993418
2030-01-02 05:30:00,26219.659513958715
2030-01-02 05:45:00,26864.000435685834
2030-01-02 06:00:00,27858.785549734297
2030-01-02 06:15:00,28449.164184549285
2030-01-02 06:30:00,29256.44622343641
2030-01-02 06:45:00,29892.250040864732
2030-01-02 07:00:00,30529.850695680292
2030-01-02 07:15:00,30741.795285503445
2030-01-02 07:30:00,30741.59787223315
2030-01-02 07:45:00,30452.471151056656
2030-01-02 08:00:00,30605.612535876702
2030-01-02 08:15:00,30442.851814717687
2030-01-02 08:30:00,29959.215780542145
2030-01-02 08:45:00,29455.576739462897
2030-01-02 09:00:00,28659.271153511814
2030-01-02 09:15:00,27725.297608163863
2030-01-02 09:30:00,26681.07305880927
2030-01-02 09:45:00,25969.954497211835
2030-01-02 10:00:00,23186.27124102106
2030-01-02 10:15:00,22310.327776963786
2030-01-02 10:30:00,21351.481697266205
2030-01-02 10:45:00,20291.436074011704
2030-01-02 11:00:00,1645.9270333424065
2030-01-02 11:15:00,1620.0681409812605
2030-01-02 11:30:00,1717.2036263939299
2030-01-02 11:45:00,1588.3119501983456
2030-01-02 12:00:00,1785.5954409280494
2030-01-02 12:15:00,1785.412043949782
2030-01-02 12:30:00,1876.2702550386784
2030-01-02 12:45:00,4578.597577284509
2030-01-02 13:00:00,23956.213636618377
2030-01-02 13:15:00,24713.006943159293
2030-01-02 13:30:00,24644.466199810246
2030-01-02 13:45:00,23068.810022870704
2030-01-02 14:00:00,23608.25644360789
2030-01-02 14:15:00,23013.608861909
2030-01-02 14:30:00,22902.10275708689
2030-01-02 14:45:00,23368.80870064799
2030-01-02 15:00:00,25729.799244784466
2030-01-02 15:15:00,26705.339202268173
2030-01-02 15:30:00,27149.805900482577
2030-01-02 15:45:00,27179.73831636559
2030-01-02 16:00:00,29164.13507795846
2030-01-02 16:15:00,29671.768069719223
2030-01-02 16:30:00,29582.701303913927
2030-01-02 16:45:00,29915.570546968134
2030-01-02 17:00:00,30107.000669246827
2030-01-02 17:15:00,29940.93034821872
2030-01-02 17:30:00,29682.340240641555
2030-01-02 17:45:00,29334.339269042313
2030-01-02 18:00:00,29544.856160246505
2030-01-02 18:15:00,29644.607951611244
2030-01-02 18:30:00,29680.88918452993
2030-01-02 18:45:00,29856.092571849236
2030-01-02 19:00:00,29850.860978426717
2030-01-02 19:15:00,30086.439567942143
2030-01-02 19:30:00,30026.24283472414
2030-01-02 19:45:00,29839.87178658667
2030-01-02 20:00:00,29178.859669610283
2030-01-02 20:15:00,28360.769820042922
2030-01-02 20:30:00,27774.8833664207
2030-01-02 20:45:00,27308.61084748144
2030-01-02 21:00:00,27184.6275254114
2030-01-02 21:15:00,26825.375723850608
2030-01-02 21:30:00,26475.488484403944
2030-01-02 21:45:00,26027.641508046137
2030-01-02 22:00:00,25941.53646804005
2030-01-02 22:15:00,25708.45120951483
2030-01-02 22:30:00,25542.116675868143
2030-01-02 22:45:00,25257.79120471287
2030-01-02 23:00:00,24986.77257953298
2030-01-02 23:15:00,25045.063074433507
2030-01-02 23:30:00,24892.126156987157
2030-01-02 23:45:00,24478.36920930729
2030-01-03 00:00:00,24132.173178120865
2030-01-03 00:15:00,23844.060377837595
2030-01-03 00:30:00,23694.9755068491
2030-01-03 00:45:00,23770.021487297985
2030-01-03 01:00:00,23802.816871655225
2030-01-03 01:15:00,23508.503771673597
2030-01-03 01:30:00,23589.56832585019
2030-01-03 01:45:00,23850.30582115514
2030-01-03 02:00:00,24155.01660266144
2030-01-03 02:15:00,24612.368051526326
2030-01-03 02:30:00,25335.95364019782
2030-01-03 02:45:00,25872.956645836523
2030-01-03 03:00:00,26419.70628999419
2030-01-03 03:15:00,26945.334284987217
2030-01-03 03:30:00,27082.409485097138
2030-01-03 03:45:00,27673.388066907653
2030-01-03 04:00:00,28621.158522264857
2030-01-03 04:15:00,29357.435450010467
2030-01-03 04:30:00,30086.289375992616
2030-01-03 04:45:00,30646.47064879139
2030-01-03 05:00:00,31493.244466561013
2030-01-03 05:15:00,32064.01560950698
2030-01-03 05:30:00,32686.28814450899
2030-01-03 05:45:00,33668.1764946669
2030-01-03 06:00:00,34877.525502936565
2030-01-03 06:15:00,35713.795166834905
2030-01-03 06:30:00,36548.54368279361
2030-01-03 06:45:00,37213.84048869361
2030-01-03 07:00:00,37771.71757743826
2030-01-03 07:15:00,38259.597613076185
2030-01-03 07:30:00,38311.87683155184
2030-01-03 07:45:00,38368.47959471679
2030-01-03 08:00:00,38392.317525150895
2030-01-03 08:15:00,38163.873707389066
2030-01-03 08:30:00,37838.11987363823
2030-01-03 08:45:00,37313.72002203623
2030-01-03 09:00:00,36773.53660725739
2030-01-03 09:15:00,36513.50366893529
2030-01-03 09:30:00,35783.23304607124
2030-01-03 09:45:00,35009.84120170708
2030-01-03 10:00:00,34997.685800974905
2030-01-03 10:15:00,34640.24363975515
2030-01-03 10:30:00,33679.08526823075
2030-01-03 10:45:00,32838.7020178838
2030-01-03 11:00:00,13293.697001679924
2030-01-03 11:15:00,12786.524083424516
2030-01-03 11:30:00,13016.98172434764
2030-01-03 11:45:00,12681.113141476508
2030-01-03 12:00:00,12224.013510430788
2030-01-03 12:15:00,12015.361135277057
