STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
2667;2014010100;3;5,1;64;eor
2667;2014010101;3;5,5;64;eor
2667;2014010102;3;3,9;85;eor
2667;2014010103;3;3,7;91;eor
2667;2014010104;3;4,2;86;eor
2667;2014010105;3;4,7;86;eor
2667;2014010106;3;4,9;89;eor
2667;2014010107;3;3,4;93;eor
2667;2014010108;3;4;91;eor
2667;2014010109;3;4,8;88;eor
2667;2014010110;3;6,8;78;eor
2667;2014010111;3;7,7;76;eor
2667;2014010112;3;8,7;70;eor
2667;2014010113;3;9,3;62;eor
2667;2014010114;3;7,8;70;eor
2667;2014010115;3;7,2;76;eor
2667;2014010116;3;7,5;75;eor
2667;2014010117;3;7,5;77;eor
2667;2014010118;3;8,2;75;eor
2667;2014010119;3;8,5;75;eor
2667;2014010120;3;8,6;74;eor
2667;2014010121;3;8,8;72;eor
2667;2014010122;3;8,8;73;eor
2667;2014010123;3;9,1;75;eor
2667;2014010200;3;9,6;74;eor
2667;2014010201;3;9,9;72;eor
2667;2014010202;3;9,6;76;eor
2667;2014010203;3;9,8;77;eor
2667;2014010204;3;9,7;78;eor
2667;2014010205;3;9,6;79;eor
2667;2014010206;3;9;83;eor
2667;2014010207;3;9;83;eor
2667;2014010208;3;9,9;78;eor
2667;2014010209;3;9,8;80;eor
2667;2014010210;3;10,3;77;eor
2667;2014010211;3;9,7;86;eor
2667;2014010212;3;10,4;81;eor
2667;2014010213;3;9,1;84;eor
2667;2014010214;3;9,7;84;eor
2667;2014010215;3;9,5;77;eor
2667;2014010216;3;8,7;79;eor
2667;2014010217;3;8,3;75;eor
2667;2014010218;3;8,1;78;eor
2667;2014010219;3;5,8;85;eor
2667;2014010220;3;6,3;85;eor
2667;2014010221;3;5;87;eor
2667;2014010222;3;5,6;87;eor
2667;2014010223;3;6;86;eor
2667;2014010300;3;5,7;86;eor
2667;2014010301;3;5,5;88;eor
2667;2014010302;3;5,5;89;eor
2667;2014010303;3;5,8;91;eor
2667;2014010304;3;6,7;89;eor
2667;2014010305;3;7,3;85;eor
2667;2014010306;3;7,5;86;eor
2667;2014010307;3;8,1;84;eor
2667;2014010308;3;7,9;87;eor
2667;2014010309;3;8,6;84;eor
2667;2014010310;3;9,5;79;eor
2667;2014010311;3;10,3;78;eor
2667;2014010312;3;11,3;75;eor
2667;2014010313;3;11,9;72;eor
2667;2014010314;3;12,2;69;eor
2667;2014010315;3;12,1;71;eor
2667;2014010316;3;11,9;71;eor
2667;2014010317;3;11,9;71;eor
2667;2014010318;3;11,8;71;eor
2667;2014010319;3;9,1;76;eor
2667;2014010320;3;9,4;79;eor
2667;2014010321;3;9;76;eor
2667;2014010322;3;8,6;71;eor
2667;2014010323;3;7,9;67;eor
2667;2014010400;3;6,6;76;eor
2667;2014010401;3;7,1;69;eor
2667;2014010402;3;7,1;70;eor
2667;2014010403;3;7,3;73;eor
2667;2014010404;3;6,7;75;eor
2667;2014010405;3;6,9;76;eor
2667;2014010406;3;5,9;82;eor
2667;2014010407;3;6,2;81;eor
2667;2014010408;3;6,5;81;eor
2667;2014010409;3;7,3;80;eor
2667;2014010410;3;7,4;80;eor
2667;2014010411;3;7,6;80;eor
2667;2014010412;3;8,3;79;eor
2667;2014010413;3;8,9;74;eor
2667;2014010414;3;9,2;73;eor
2667;2014010415;3;8,5;81;eor
2667;2014010416;3;8,4;84;eor
2667;2014010417;3;7,7;88;eor
2667;2014010418;3;7,6;88;eor
2667;2014010419;3;7;90;eor
2667;2014010420;3;7,5;87;eor
2667;2014010421;3;7,9;87;eor
2667;2014010422;3;7;89;eor
2667;2014010423;3;7;90;eor
2667;2014010500;3;7,1;90;eor
2667;2014010501;3;6,7;93;eor
2667;2014010502;3;7,5;91;eor
2667;2014010503;3;6,9;95;eor
2667;2014010504;3;6,8;95;eor
2667;2014010505;3;7,1;89;eor
2667;2014010506;3;6,7;88;eor
2667;2014010507;3;5,5;88;eor
2667;2014010508;3;5,5;89;eor
2667;2014010509;3;5,4;86;eor
2667;2014010510;3;6,9;80;eor
2667;2014010511;3;7,6;73;eor
2667;2014010512;3;8;70;eor
2667;2014010513;3;8,6;63;eor
2667;2014010514;3;8,5;61;eor
2667;2014010515;3;7,3;65;eor
2667;2014010516;3;6,5;67;eor
2667;2014010517;3;6,1;70;eor
2667;2014010518;3;6,2;72;eor
2667;2014010519;3;4,9;76;eor
2667;2014010520;3;4,8;81;eor
2667;2014010521;3;5;79;eor
2667;2014010522;3;3,9;82;eor
2667;2014010523;3;4,6;79;eor
2667;2014010600;3;4,8;81;eor
2667;2014010601;3;5,1;80;eor
2667;2014010602;3;5,7;80;eor
2667;2014010603;3;7,1;79;eor
2667;2014010604;3;7,4;78;eor
2667;2014010605;3;7,4;80;eor
2667;2014010606;3;7,8;80;eor
2667;2014010607;3;7,8;82;eor
2667;2014010608;3;7,5;84;eor
2667;2014010609;3;8,2;90;eor
2667;2014010610;3;9,3;89;eor
2667;2014010611;3;9,5;90;eor
2667;2014010612;3;11,4;82;eor
2667;2014010613;3;12,7;79;eor
2667;2014010614;3;12,3;78;eor
2667;2014010615;3;11,9;79;eor
2667;2014010616;3;11,5;80;eor
2667;2014010617;3;10,1;91;eor
2667;2014010618;3;11,1;82;eor
2667;2014010619;3;10,5;86;eor
2667;2014010620;3;11,3;81;eor
2667;2014010621;3;10,9;85;eor
2667;2014010622;3;11,4;82;eor
2667;2014010623;3;10,7;89;eor
2667;2014010700;3;9,9;92;eor
2667;2014010701;3;8,3;94;eor
2667;2014010702;3;8,8;89;eor
2667;2014010703;3;7,8;90;eor
2667;2014010704;3;8,1;90;eor
2667;2014010705;3;9;82;eor
2667;2014010706;3;8,1;84;eor
2667;2014010707;3;9,1;78;eor
2667;2014010708;3;8,9;78;eor
2667;2014010709;3;9,8;75;eor
2667;2014010710;3;11,1;70;eor
2667;2014010711;3;12;69;eor
2667;2014010712;3;12,8;64;eor
2667;2014010713;3;14,1;61;eor
2667;2014010714;3;13,8;61;eor
2667;2014010715;3;13,9;61;eor
2667;2014010716;3;13,1;62;eor
2667;2014010717;3;12,9;64;eor
2667;2014010718;3;11,8;71;eor
2667;2014010719;3;10,5;85;eor
