STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
400;2024010100;3;5,8;83;eor
400;2024010101;3;4,9;87;eor
400;2024010102;3;4,3;89;eor
400;2024010103;3;4,2;89;eor
400;2024010104;3;3,7;90;eor
400;2024010105;3;3;94;eor
400;2024010106;3;4,4;89;eor
400;2024010107;3;5,3;86;eor
400;2024010108;3;5,2;85;eor
400;2024010109;3;6,3;82;eor
400;2024010110;3;7,4;75;eor
400;2024010111;3;7,2;76;eor
400;2024010112;3;6,9;82;eor
400;2024010113;3;7,4;81;eor
400;2024010114;3;7,7;77;eor
400;2024010115;3;7,5;79;eor
400;2024010116;3;7,5;78;eor
400;2024010117;3;7,1;80;eor
400;2024010118;3;7,2;79;eor
400;2024010119;3;6,8;84;eor
400;2024010120;3;6,6;84;eor
400;2024010121;3;6,5;85;eor
400;2024010122;3;6,6;81;eor
400;2024010123;3;6,5;81;eor
400;2024010200;3;6,4;80;eor
400;2024010201;3;6,2;79;eor
400;2024010202;3;5,8;83;eor
400;2024010203;3;5,4;83;eor
400;2024010204;3;3,6;89;eor
400;2024010205;3;2,7;92;eor
400;2024010206;3;2,5;93;eor
400;2024010207;3;2,7;92;eor
400;2024010208;3;2,9;92;eor
400;2024010209;3;3,5;91;eor
400;2024010210;3;4;94;eor
400;2024010211;3;4,3;96;eor
400;2024010212;3;4,5;95;eor
400;2024010213;3;4,7;95;eor
400;2024010214;3;4,8;95;eor
400;2024010215;3;4,8;96;eor
400;2024010216;3;4,9;96;eor
400;2024010217;3;5;98;eor
400;2024010218;3;5,1;97;eor
400;2024010219;3;5,2;97;eor
400;2024010220;3;5,6;98;eor
400;2024010221;3;6;98;eor
400;2024010222;3;6,3;98;eor
400;2024010223;3;6,8;98;eor
400;2024010300;3;7,6;97;eor
400;2024010301;3;8,1;96;eor
400;2024010302;3;8,4;95;eor
400;2024010303;3;8,6;93;eor
400;2024010304;3;9,2;88;eor
400;2024010305;3;8,8;87;eor
400;2024010306;3;9,2;81;eor
400;2024010307;3;9,4;80;eor
400;2024010308;3;8,9;84;eor
400;2024010309;3;9,5;77;eor
400;2024010310;3;10;74;eor
400;2024010311;3;10,9;71;eor
400;2024010312;3;11;71;eor
400;2024010313;3;10,7;75;eor
400;2024010314;3;10,7;74;eor
400;2024010315;3;8,8;92;eor
400;2024010316;3;9,3;83;eor
400;2024010317;3;9,4;80;eor
400;2024010318;3;9,3;81;eor
400;2024010319;3;9;80;eor
400;2024010320;3;9,1;77;eor
400;2024010321;3;9,8;73;eor
400;2024010322;3;9,7;73;eor
400;2024010323;3;9,5;73;eor
400;2024010400;3;8,9;78;eor
400;2024010401;3;8,7;79;eor
400;2024010402;3;8,5;80;eor
400;2024010403;3;8,3;83;eor
400;2024010404;3;7,7;89;eor
400;2024010405;3;7,8;87;eor
400;2024010406;3;7,6;88;eor
400;2024010407;3;7;87;eor
400;2024010408;3;5,3;82;eor
400;2024010409;3;4,4;91;eor
400;2024010410;3;3,5;87;eor
400;2024010411;3;3,5;80;eor
400;2024010412;3;2,9;81;eor
400;2024010413;3;2,5;90;eor
400;2024010414;3;2,5;91;eor
400;2024010415;3;1,2;93;eor
400;2024010416;3;0,5;91;eor
400;2024010417;3;0,4;87;eor
400;2024010418;3;0;90;eor
400;2024010419;3;-0,1;92;eor
400;2024010420;3;0;92;eor
400;2024010421;3;0,1;90;eor
400;2024010422;3;0,3;89;eor
