STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
1262;2010010100;3;0,1;98;eor
1262;2010010101;3;-0,3;99;eor
1262;2010010102;3;0,4;99;eor
1262;2010010103;3;0,1;99;eor
1262;2010010104;3;0,7;99;eor
1262;2010010105;3;0,7;99;eor
1262;2010010106;3;0,9;99;eor
1262;2010010107;3;0,8;99;eor
1262;2010010108;3;0,3;99;eor
1262;2010010109;3;0,7;99;eor
1262;2010010110;3;1,6;100;eor
1262;2010010111;3;2,3;100;eor
1262;2010010112;3;3,7;99;eor
1262;2010010113;3;3,7;96;eor
1262;2010010114;3;3,2;99;eor
1262;2010010115;3;3,2;99;eor
1262;2010010116;3;2,1;99;eor
1262;2010010117;3;2;99;eor
1262;2010010118;3;2,5;100;eor
1262;2010010119;3;2,5;100;eor
1262;2010010120;3;2,9;99;eor
1262;2010010121;3;3;99;eor
1262;2010010122;3;2,7;96;eor
1262;2010010123;3;1,6;96;eor
1262;2010010200;3;0,7;96;eor
1262;2010010201;3;0,2;97;eor
1262;2010010202;3;-0,1;94;eor
1262;2010010203;3;-0,3;94;eor
1262;2010010204;3;-0,4;92;eor
1262;2010010205;3;-0,6;94;eor
1262;2010010206;3;-0,8;90;eor
1262;2010010207;3;-0,9;82;eor
1262;2010010208;3;-1,4;82;eor
1262;2010010209;3;-1,6;83;eor
1262;2010010210;3;-2;79;eor
1262;2010010211;3;-1,9;80;eor
1262;2010010212;3;-2;79;eor
1262;2010010213;3;-1,8;78;eor
1262;2010010214;3;-2,2;84;eor
1262;2010010215;3;-2,4;73;eor
1262;2010010216;3;-2,9;81;eor
1262;2010010217;3;-3;82;eor
1262;2010010218;3;-3,7;80;eor
1262;2010010219;3;-4,3;83;eor
1262;2010010220;3;-4,3;83;eor
1262;2010010221;3;-4,8;83;eor
1262;2010010222;3;-5;84;eor
1262;2010010223;3;-5,3;86;eor
1262;2010010300;3;-5,7;85;eor
1262;2010010301;3;-6;86;eor
1262;2010010302;3;-6,6;88;eor
1262;2010010303;3;-5,9;86;eor
