Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-01-01 00:00:00,-4615.157996135413,4615.157996135413,4615.157996135413
2030-01-01 00:15:00,-4844.6611773460045,9459.819173481417,4844.6611773460045
2030-01-01 00:30:00,-5339.181328007351,14799.000501488768,5339.181328007351
2030-01-01 00:45:00,-4932.891156510219,19731.89165799899,4932.891156510219
2030-01-01 01:00:00,-5511.295955311301,25243.187613310292,5511.295955311301
2030-01-01 01:15:00,-5746.869460519376,30990.057073829666,5746.869460519376
2030-01-01 01:30:00,-5507.483358363212,36497.54043219288,5507.483358363212
2030-01-01 01:45:00,-5953.581944039312,42451.12237623219,5953.581944039312
2030-01-01 02:00:00,-5800.36389009871,48251.4862663309,5800.36389009871
2030-01-01 02:15:00,-6255.009606319027,54506.49587264993,6255.009606319027
2030-01-01 02:30:00,-5910.588269909213,60417.08414255914,5910.588269909213
2030-01-01 02:45:00,-6203.231564940757,66620.3157074999,6203.231564940757
2030-01-01 03:00:00,-5237.093823725207,71857.40953122512,5237.093823725207
2030-01-01 03:15:00,-5010.335980437074,76867.74551166219,5010.335980437074
2030-01-01 03:30:00,-4778.818762651845,81646.56427431403,4778.818762651845
2030-01-01 03:45:00,-4642.044065667866,86288.6083399819,4642.044065667866
2030-01-01 04:00:00,-4921.110092436866,91209.71843241877,4921.110092436866
2030-01-01 04:15:00,-4791.692909041421,96001.41134146019,4791.692909041421
2030-01-01 04:30:00,-4631.418139998435,100632.82948145863,4631.418139998435
2030-01-01 04:45:00,-4598.85982223789,105231.68930369652,4598.85982223789
2030-01-01 05:00:00,-5167.074417847767,110398.76372154428,5167.074417847767
2030-01-01 05:15:00,-4872.990336715084,115271.75405825936,4872.990336715084
2030-01-01 05:30:00,-4627.47487311264,119899.22893137201,4627.47487311264
2030-01-01 05:45:00,-4698.153140856464,124597.38207222847,4698.153140856464
2030-01-01 06:00:00,-5000.564030030417,129597.9461022589,5000.564030030417
2030-01-01 06:15:00,-4805.6459061890055,134403.59200844791,4805.6459061890055
2030-01-01 06:30:00,-4859.640101514866,139263.2321099628,4859.640101514866
2030-01-01 06:45:00,-4750.113982321727,144013.3460922845,4750.113982321727
2030-01-01 07:00:00,-5135.639502237691,149148.9855945222,5135.639502237691
2030-01-01 07:15:00,-4944.016948510274,154093.0025430325,4944.016948510274
2030-01-01 07:30:00,-4915.428741824102,159008.4312848566,4915.428741824102
2030-01-01 07:45:00,-4639.882436510841,163648.31372136745,4639.882436510841
2030-01-01 08:00:00,-4566.566599548218,168214.88032091566,4566.566599548218
2030-01-01 08:15:00,-4466.974546099567,172681.85486701524,4466.974546099567
2030-01-01 08:30:00,-4326.717032983677,177008.5718999989,4326.717032983677
2030-01-01 08:45:00,-4385.321344630083,181393.893244629,4385.321344630083
2030-01-01 09:00:00,-4511.969056726726,185905.86230135572,4511.969056726726
2030-01-01 09:15:00,-4672.022498841281,190577.884800197,4672.022498841281
2030-01-01 09:30:00,-4711.992619456636,195289.87741965364,4711.992619456636
2030-01-01 09:45:00,-4888.637417144442,200178.51483679807,4888.637417144442
