Datum,Wind Offshore,Wind Onshore,Photovoltaik
2016-01-01 00:00:00,572.75,1678.25,0.0
2016-01-01 00:15:00,571.25,1625.25,0.0
2016-01-01 00:30:00,571.5,1581.75,0.0
2016-01-01 00:45:00,567.0,1561.5,0.0
2016-01-01 01:00:00,569.5,1562.75,0.0
2016-01-01 01:15:00,575.0,1554.5,0.0
2016-01-01 01:30:00,578.5,1564.25,0.0
2016-01-01 01:45:00,570.0,1572.25,0.0
2016-01-01 02:00:00,565.0,1573.25,0.0
2016-01-01 02:15:00,562.5,1565.0,0.0
2016-01-01 02:30:00,557.0,1560.75,0.0
2016-01-01 02:45:00,551.75,1564.25,0.0
2016-01-01 03:00:00,521.0,1574.75,0.0
2016-01-01 03:15:00,510.25,1602.75,0.0
2016-01-01 03:30:00,500.0,1610.25,0.0
2016-01-01 03:45:00,483.5,1611.25,0.0
2016-01-01 04:00:00,485.0,1616.0,0.0
2016-01-01 04:15:00,504.25,1616.5,0.0
2016-01-01 04:30:00,491.75,1610.0,0.0
2016-01-01 04:45:00,464.75,1577.0,0.0
2016-01-01 05:00:00,430.0,1512.5,0.0
2016-01-01 05:15:00,395.25,1464.0,0.0
2016-01-01 05:30:00,393.5,1428.0,0.0
2016-01-01 05:45:00,364.75,1416.25,0.0
2016-01-01 06:00:00,342.75,1389.75,0.0
2016-01-01 06:15:00,342.25,1346.5,0.0
2016-01-01 06:30:00,322.5,1296.75,0.0
2016-01-01 06:45:00,323.75,1257.75,0.0
2016-01-01 07:00:00,281.75,1211.75,0.0
2016-01-01 07:15:00,229.25,1181.75,0.0
2016-01-01 07:30:00,237.25,1150.5,0.0
2016-01-01 07:45:00,199.25,1110.75,0.0
2016-01-01 08:00:00,172.5,1061.0,2.0
2016-01-01 08:15:00,170.25,1010.0,10.5
2016-01-01 08:30:00,159.0,971.5,36.75
2016-01-01 08:45:00,148.25,936.0,87.75
2016-01-01 09:00:00,123.5,894.0,145.75
2016-01-01 09:15:00,107.0,843.5,193.75
2016-01-01 09:30:00,106.5,791.75,253.25
2016-01-01 09:45:00,105.0,749.0,371.75
2016-01-01 10:00:00,96.5,695.5,474.0
2016-01-01 10:15:00,85.0,632.75,582.5
2016-01-01 10:30:00,69.25,578.25,680.0
2016-01-01 10:45:00,54.75,515.5,786.0
2016-01-01 11:00:00,43.0,466.5,867.0
2016-01-01 11:15:00,43.25,429.75,924.25
2016-01-01 11:30:00,45.25,387.0,964.75
2016-01-01 11:45:00,40.25,341.25,1011.5
2016-01-01 12:00:00,38.0,311.5,1030.75
2016-01-01 12:15:00,34.75,287.0,1035.25
2016-01-01 12:30:00,31.5,264.25,1021.25
2016-01-01 12:45:00,25.5,237.5,1033.75
2016-01-01 13:00:00,20.5,214.0,994.5
2016-01-01 13:15:00,22.0,179.0,970.25
2016-01-01 13:30:00,20.75,152.75,909.25
2016-01-01 13:45:00,18.75,136.75,843.0
2016-01-01 14:00:00,16.5,128.25,759.25
2016-01-01 14:15:00,13.75,111.25,657.25
2016-01-01 14:30:00,9.5,100.0,562.0
2016-01-01 14:45:00,5.75,94.5,463.5
2016-01-01 15:00:00,3.0,91.5,351.75
2016-01-01 15:15:00,1.0,91.5,245.75
2016-01-01 15:30:00,0.5,96.0,158.0
2016-01-01 15:45:00,0.0,102.5,85.25
2016-01-01 16:00:00,0.0,115.75,34.0
2016-01-01 16:15:00,0.0,137.25,10.25
2016-01-01 16:30:00,0.0,170.0,4.5
2016-01-01 16:45:00,0.0,206.5,1.75
2016-01-01 17:00:00,0.0,238.75,0.0
2016-01-01 17:15:00,0.0,280.0,0.0
2016-01-01 17:30:00,0.5,333.5,0.0
2016-01-01 17:45:00,4.0,382.5,0.0
2016-01-01 18:00:00,13.25,427.25,0.0
2016-01-01 18:15:00,21.25,469.25,0.0
2016-01-01 18:30:00,28.25,502.5,0.0
2016-01-01 18:45:00,37.0,555.5,0.0
2016-01-01 19:00:00,46.25,626.0,0.0
2016-01-01 19:15:00,60.75,698.5,0.0
2016-01-01 19:30:00,73.5,780.25,0.0
2016-01-01 19:45:00,90.75,841.5,0.0
2016-01-01 20:00:00,114.25,878.75,0.0
2016-01-01 20:15:00,146.25,898.75,0.0
2016-01-01 20:30:00,172.0,905.75,0.0
2016-01-01 20:45:00,185.5,946.5,0.0
2016-01-01 21:00:00,204.75,1008.5,0.0
2016-01-01 21:15:00,218.75,1069.75,0.0
2016-01-01 21:30:00,230.5,1123.0,0.0
2016-01-01 21:45:00,258.5,1147.75,0.0
2016-01-01 22:00:00,284.0,1167.75,0.0
2016-01-01 22:15:00,291.75,1205.5,0.0
2016-01-01 22:30:00,292.5,1241.25,0.0
2016-01-01 22:45:00,327.75,1264.25,0.0
2016-01-01 23:00:00,348.25,1307.0,0.0
2016-01-01 23:15:00,360.25,1363.75,0.0
2016-01-01 23:30:00,375.5,1399.5,0.0
2016-01-01 23:45:00,369.25,1385.5,0.0
2016-01-02 00:00:00,373.5,1374.75,0.0
2016-01-02 00:15:00,405.25,1394.0,0.0
2016-01-02 00:30:00,424.25,1423.25,0.0
2016-01-02 00:45:00,458.25,1477.5,0.0
2016-01-02 01:00:00,494.0,1519.25,0.0
2016-01-02 01:15:00,533.5,1575.25,0.0
2016-01-02 01:30:00,549.75,1670.75,0.0
2016-01-02 01:45:00,592.75,1749.75,0.0
2016-01-02 02:00:00,610.0,1834.0,0.0
2016-01-02 02:15:00,622.5,1940.25,0.0
2016-01-02 02:30:00,635.75,2065.0,0.0
2016-01-02 02:45:00,649.5,2172.5,0.0
2016-01-02 03:00:00,670.5,2203.25,0.0
2016-01-02 03:15:00,682.0,2255.75,0.0
2016-01-02 03:30:00,690.0,2325.5,0.0
2016-01-02 03:45:00,695.0,2412.5,0.0
2016-01-02 04:00:00,696.5,2505.75,0.0
2016-01-02 04:15:00,697.0,2571.25,0.0
2016-01-02 04:30:00,698.0,2654.0,0.0
2016-01-02 04:45:00,699.0,2739.25,0.0
2016-01-02 05:00:00,702.25,2833.5,0.0
2016-01-02 05:15:00,705.0,2930.25,0.0
2016-01-02 05:30:00,706.0,3006.0,0.0
2016-01-02 05:45:00,705.0,3050.75,0.0
2016-01-02 06:00:00,706.25,3172.75,0.0
2016-01-02 06:15:00,706.25,3239.75,0.0
2016-01-02 06:30:00,703.0,3283.25,0.0
2016-01-02 06:45:00,704.25,3314.0,0.0
2016-01-02 07:00:00,703.75,3362.0,0.0
2016-01-02 07:15:00,701.75,3410.75,0.0
2016-01-02 07:30:00,701.5,3451.25,0.0
2016-01-02 07:45:00,701.25,3511.75,0.0
2016-01-02 08:00:00,702.25,3575.0,1.5
2016-01-02 08:15:00,703.0,3576.0,8.5
2016-01-02 08:30:00,703.5,3584.25,31.5
2016-01-02 08:45:00,704.25,3623.75,64.75
2016-01-02 09:00:00,702.0,3644.75,95.75
2016-01-02 09:15:00,701.5,3708.25,129.5
2016-01-02 09:30:00,698.5,3775.0,158.25
2016-01-02 09:45:00,696.5,3806.5,209.25
2016-01-02 10:00:00,695.25,3834.5,260.75
2016-01-02 10:15:00,695.5,3835.0,314.5
2016-01-02 10:30:00,694.25,3886.25,362.75
2016-01-02 10:45:00,693.5,3902.5,403.25
2016-01-02 11:00:00,693.5,3909.0,432.25
2016-01-02 11:15:00,694.5,3934.75,460.0
2016-01-02 11:30:00,693.5,3973.5,477.75
2016-01-02 11:45:00,693.25,3997.25,495.5
2016-01-02 12:00:00,693.25,3989.75,493.25
2016-01-02 12:15:00,693.75,3975.0,511.25
2016-01-02 12:30:00,693.25,3989.0,525.75
2016-01-02 12:45:00,693.25,3982.75,512.75
2016-01-02 13:00:00,692.5,3986.0,494.5
2016-01-02 13:15:00,691.0,3994.25,481.75
2016-01-02 13:30:00,690.5,3991.25,466.5
2016-01-02 13:45:00,689.75,3992.75,425.75
2016-01-02 14:00:00,690.75,4016.0,385.5
2016-01-02 14:15:00,692.0,4043.0,328.0
2016-01-02 14:30:00,692.75,4065.0,261.75
2016-01-02 14:45:00,693.25,4084.75,202.0
2016-01-02 15:00:00,694.75,4078.5,156.0
2016-01-02 15:15:00,693.75,4098.75,114.75
2016-01-02 15:30:00,694.25,4123.5,72.5
2016-01-02 15:45:00,694.75,4158.75,38.5
2016-01-02 16:00:00,693.25,4189.75,17.0
2016-01-02 16:15:00,691.0,4214.25,6.75
2016-01-02 16:30:00,685.75,4256.5,2.75
2016-01-02 16:45:00,685.0,4314.75,0.75
2016-01-02 17:00:00,684.25,4342.5,0.0
2016-01-02 17:15:00,685.0,4381.0,0.0
2016-01-02 17:30:00,683.5,4442.25,0.0
2016-01-02 17:45:00,685.5,4472.0,0.0
2016-01-02 18:00:00,686.5,4504.0,0.0
2016-01-02 18:15:00,685.0,4507.5,0.0
2016-01-02 18:30:00,683.0,4498.75,0.0
2016-01-02 18:45:00,679.25,4509.5,0.0
2016-01-02 19:00:00,681.75,4523.75,0.0
2016-01-02 19:15:00,683.75,4496.0,0.0
2016-01-02 19:30:00,682.25,4497.5,0.0
2016-01-02 19:45:00,685.0,4450.5,0.0
2016-01-02 20:00:00,682.0,4413.75,0.0
2016-01-02 20:15:00,684.25,4384.0,0.0
2016-01-02 20:30:00,686.75,4386.75,0.0
2016-01-02 20:45:00,685.5,4354.25,0.0
2016-01-02 21:00:00,685.5,4328.0,0.0
2016-01-02 21:15:00,684.0,4298.0,0.0
2016-01-02 21:30:00,681.25,4233.25,0.0
2016-01-02 21:45:00,681.75,4217.0,0.0
2016-01-02 22:00:00,681.5,4060.75,0.0
2016-01-02 22:15:00,679.5,4057.25,0.0
2016-01-02 22:30:00,683.0,4078.75,0.0
2016-01-02 22:45:00,683.0,4080.75,0.0
2016-01-02 23:00:00,681.75,4099.0,0.0
2016-01-02 23:15:00,682.25,4124.0,0.0
2016-01-02 23:30:00,682.0,4155.5,0.0
2016-01-02 23:45:00,682.75,4184.0,0.0
2016-01-03 00:00:00,681.0,4170.75,0.0
2016-01-03 00:15:00,680.5,4163.75,0.0
2016-01-03 00:30:00,679.5,4163.5,0.0
2016-01-03 00:45:00,678.25,4151.0,0.0
2016-01-03 01:00:00,678.5,4074.5,0.0
2016-01-03 01:15:00,678.0,4093.75,0.0
2016-01-03 01:30:00,675.25,4094.0,0.0
2016-01-03 01:45:00,672.25,4089.75,0.0
2016-01-03 02:00:00,670.5,4081.0,0.0
2016-01-03 02:15:00,671.75,4114.0,0.0
2016-01-03 02:30:00,673.5,4124.0,0.0
2016-01-03 02:45:00,673.25,4104.75,0.0
2016-01-03 03:00:00,673.5,4085.75,0.0
2016-01-03 03:15:00,673.25,4068.5,0.0
2016-01-03 03:30:00,672.5,4050.75,0.0
2016-01-03 03:45:00,672.5,4033.25,0.0
2016-01-03 04:00:00,671.5,4025.75,0.0
2016-01-03 04:15:00,673.5,3997.25,0.0
2016-01-03 04:30:00,672.75,4014.25,0.0
2016-01-03 04:45:00,672.25,4000.5,0.0
2016-01-03 05:00:00,670.0,4001.5,0.0
2016-01-03 05:15:00,671.0,3995.25,0.0
2016-01-03 05:30:00,669.75,4001.0,0.0
2016-01-03 05:45:00,669.0,4000.25,0.0
