Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh
2030-01-01 00:00:00,16205.239095552362,250.0,0.0,15955.239095552362
2030-01-01 00:15:00,16224.724756157832,150.0,0.0,16074.724756157832
2030-01-01 00:30:00,16562.489019266854,0.0,0.0,16562.489019266854
2030-01-01 00:45:00,16332.741057809602,0.0,0.0,16332.741057809602
2030-01-01 01:00:00,17077.802002709148,0.0,0.0,17077.802002709148
2030-01-01 01:15:00,17460.440650168915,0.0,0.0,17460.440650168915
2030-01-01 01:30:00,17439.33577749646,0.0,0.0,17439.33577749646
2030-01-01 01:45:00,17882.57143863274,0.0,0.0,17882.57143863274
2030-01-01 02:00:00,17770.69700798866,0.0,0.0,17770.69700798866
2030-01-01 02:15:00,18327.196777052155,0.0,0.0,18327.196777052155
2030-01-01 02:30:00,18052.551770253223,0.0,0.0,18052.551770253223
2030-01-01 02:45:00,18359.06778264335,0.0,0.0,18359.06778264335
2030-01-01 03:00:00,17683.516797253993,0.0,0.0,17683.516797253993
2030-01-01 03:15:00,17606.347640928245,0.0,0.0,17606.347640928245
2030-01-01 03:30:00,17446.74179867859,0.0,0.0,17446.74179867859
2030-01-01 03:45:00,17505.269318879822,0.0,0.0,17505.269318879822
2030-01-01 04:00:00,17806.588746455498,0.0,0.0,17806.588746455498
2030-01-01 04:15:00,17660.724699678074,0.0,0.0,17660.724699678074
2030-01-01 04:30:00,17457.482488281858,0.0,0.0,17457.482488281858
2030-01-01 04:45:00,17492.150014979416,0.0,0.0,17492.150014979416
2030-01-01 05:00:00,17983.41313992078,0.0,0.0,17983.41313992078
2030-01-01 05:15:00,17709.652190270677,0.0,0.0,17709.652190270677
2030-01-01 05:30:00,17405.44331379798,0.0,0.0,17405.44331379798
2030-01-01 05:45:00,17291.634389938754,0.0,0.0,17291.634389938754
2030-01-01 06:00:00,17278.614938324645,0.0,0.0,17278.614938324645
2030-01-01 06:15:00,17158.887495923693,0.0,0.0,17158.887495923693
2030-01-01 06:30:00,17222.27748094403,0.0,0.0,17222.27748094403
2030-01-01 06:45:00,17225.499700254815,0.0,0.0,17225.499700254815
