;Datum
0;2024-01-01 00:00
1;2024-01-01 00:15
2;2024-01-01 00:30
3;2024-01-01 00:45
4;2024-01-01 01:00
5;2024-01-01 01:15
6;2024-01-01 01:30
7;2024-01-01 01:45
8;2024-01-01 02:00
9;2024-01-01 02:15
10;2024-01-01 02:30
11;2024-01-01 02:45
12;2024-01-01 03:00
13;2024-01-01 03:15
14;2024-01-01 03:30
15;2024-01-01 03:45
16;2024-01-01 04:00
17;2024-01-01 04:15
18;2024-01-01 04:30
19;2024-01-01 04:45
20;2024-01-01 05:00
21;2024-01-01 05:15
22;2024-01-01 05:30
23;2024-01-01 05:45
24;2024-01-01 06:00
25;2024-01-01 06:15
26;2024-01-01 06:30
27;2024-01-01 06:45
28;2024-01-01 07:00
29;2024-01-01 07:15
30;2024-01-01 07:30
31;2024-01-01 07:45
32;2024-01-01 08:00
33;2024-01-01 08:15
34;2024-01-01 08:30
35;2024-01-01 08:45
36;2024-01-01 09:00
37;2024-01-01 09:15
38;2024-01-01 09:30
39;2024-01-01 09:45
40;2024-01-01 10:00
41;2024-01-01 10:15
42;2024-01-01 10:30
43;2024-01-01 10:45
44;2024-01-01 11:00
45;2024-01-01 11:15
46;2024-01-01 11:30
47;2024-01-01 11:45
48;2024-01-01 12:00
49;2024-01-01 12:15
50;2024-01-01 12:30
51;2024-01-01 12:45
52;2024-01-01 13:00
53;2024-01-01 13:15
54;2024-01-01 13:30
55;2024-01-01 13:45
56;2024-01-01 14:00
57;2024-01-01 14:15
58;2024-01-01 14:30
59;2024-01-01 14:45
60;2024-01-01 15:00
61;2024-01-01 15:15
62;2024-01-01 15:30
63;2024-01-01 15:45
64;2024-01-01 16:00
65;2024-01-01 16:15
66;2024-01-01 16:30
67;2024-01-01 16:45
68;2024-01-01 17:00
69;2024-01-01 17:15
70;2024-01-01 17:30
71;2024-01-01 17:45
72;2024-01-01 18:00
73;2024-01-01 18:15
74;2024-01-01 18:30
75;2024-01-01 18:45
76;2024-01-01 19:00
77;2024-01-01 19:15
78;2024-01-01 19:30
79;2024-01-01 19:45
80;2024-01-01 20:00
81;2024-01-01 20:15
82;2024-01-01 20:30
83;2024-01-01 20:45
84;2024-01-01 21:00
85;2024-01-01 21:15
86;2024-01-01 21:30
87;2024-01-01 21:45
88;2024-01-01 22:00
89;2024-01-01 22:15
90;2024-01-01 22:30
91;2024-01-01 22:45
92;2024-01-01 23:00
93;2024-01-01 23:15
94;2024-01-01 23:30
95;2024-01-01 23:45
96;2024-01-02 00:00
97;2024-01-02 00:15
98;2024-01-02 00:30
99;2024-01-02 00:45
100;2024-01-02 01:00
101;2024-01-02 01:15
102;2024-01-02 01:30
103;2024-01-02 01:45
104;2024-01-02 02:00
105;2024-01-02 02:15
106;2024-01-02 02:30
107;2024-01-02 02:45
108;2024-01-02 03:00
109;2024-01-02 03:15
110;2024-01-02 03:30
111;2024-01-02 03:45
112;2024-01-02 04:00
113;2024-01-02 04:15
114;2024-01-02 04:30
115;2024-01-02 04:45
116;2024-01-02 05:00
117;2024-01-02 05:15
118;2024-01-02 05:30
119;2024-01-02 05:45
120;2024-01-02 06:00
121;2024-01-02 06:15
122;2024-01-02 06:30
123;2024-01-02 06:45
124;2024-01-02 07:00
125;2024-01-02 07:15
126;2024-01-02 07:30
127;2024-01-02 07:45
128;2024-01-02 08:00
129;2024-01-02 08:15
130;2024-01-02 08:30
131;2024-01-02 08:45
132;2024-01-02 09:00
133;2024-01-02 09:15
134;2024-01-02 09:30
135;2024-01-02 09:45
136;2024-01-02 10:00
137;2024-01-02 10:15
138;2024-01-02 10:30
139;2024-01-02 10:45
140;2024-01-02 11:00
141;2024-01-02 11:15
142;2024-01-02 11:30
143;2024-01-02 11:45
144;2024-01-02 12:00
