year,predicted_capacity
2010,-2289.648352175951
2011,-1004.057143330574
2012,208.59999960660934
2013,1348.3230765759945
2014,2415.1120876669884
2015,3408.9670328199863
2016,4329.887911975384
2017,5177.87472525239
2018,5952.9274726212025
2019,6655.046153962612
2020,7284.230769455433
2021,7840.481318950653
2022,8323.797802567482
2023,8734.180220246315
2024,9071.62857195735
2025,9336.142857760191
2026,9527.723077595234
2027,9646.369231551886
2028,9692.081319570541
2029,9664.859341591597
2030,9564.70329773426
