year,predicted_capacity
2010,22544.934066593647
2011,26902.11428630352
2012,31018.18461585045
2013,34893.14505535364
2014,38526.99560469389
2015,41919.7362639308
2016,45071.367033064365
2017,47981.88791209459
2018,50651.29890102148
2019,53079.59999984503
2020,55266.79120850563
2021,57212.8725271225
2022,58917.84395557642
2023,60381.70549398661
2024,61604.45714235306
2025,62586.09890049696
2026,63326.63076853752
2027,63826.05274647474
2028,64084.364834308624
2029,64101.567032039165
2030,63877.65933966637
